,Name,Category,Town,Type,Contributions,Title,Review,Rating,Date,LocCode,Cuisine,Score
10,Butlins,Accommodation,Bognor,Hotel,31,Very economical midweek break,"My wife and I have spent a number of midweek breaks at this resort and found it to be an ideal venue for a relaxing break . The resort has excellent restaurants and bars together with superb activities for children including a large fairground incorporating many free rides for visitors and the resort is right on the sea front .The staff are very helpful and friendly in the age old Butlin’s tradition and finally , cost wise , it certainly will not break the bank .
Read less",5,2.0,2.0,0,0
11,The Thatched House,Food,Bognor, Gastropub,19,What a great pub - MERMAID GIN - what a find!,"Soon to be our local - great! Very attentive staff - great atmosphere - clean loos -fresh food and good prices.
Mermaid gin - wow this is just perfect - I have only ever got this in The IOW where its distilled. Fantastic to now get it in a pub. OH! not to mention the 'skinny'
bear which is gluten free - another plus.
Eating - I had the liver and bacon which was fantastic - very fresh. My husband had the curry and very much enjoyed although he would have liked some pickle.
Maybe a gluten free dessert wouldn't go amiss but I did enjoy the sorbet.",5,1.0,2.0,British,0
12,"Crossbush, Beefeater",Food,Arundel, Steakhouse/Diner,122,Happy Birthday- what a disaster,"My son decided to take my wife (Who’s birthday we were celebrating), me and his family out to the Crossbush Beefeater’s.

We had booked a table to 16:00, but arrived 15 minutes early. We were shown to our table at about 15:50 and given the menus to read.

After 35 minutes the kids were getting restless so I grabbed the next waitress to go past and asked what I needed to do to get server.

She said they were very busy and apologised after explaining she was the only person looking after the area. She asked if we had ordered drinks. As we hadn’t we gave her the drinks order which turned up one short after 15 mins.

We asked to see the allergy menu and were told that the manager would have to serve us and she’d as him to come over. 10 minutes later he comes over and asks us what we would like to eat. We asked for the allergy menu and after that was sorted we have him our order to be told that the roast dinners were all sold out. That’s the first we’d heard of that after need at the table for over an hour.

We placed our order and waiting over 40 mins for that to arrive.

My wife’s steak which was supposed to be medium to well done was cremated and dry, my sones steak as part of his grill was supposed to be rare to medium and was well done, his chicken was cremated. His wife’s cheese burger was burnt and dry. My pie was had rock hard pastry and over cooked vegetables. The peas were a funny green and tasteless as if they’d bee cooked for a long time.

All in all a disaster for my wife’s birthday.

I collared the manager and explained about the food, he apologies and said he wouldn’t charge us anything, but the damage was done.

We ate what we could and left as soon as we could.

This is the second really poor mean we’ve had at this beefeaters, so I cannot see us going back.

What is the point of doing a 40% off promotion as well a being in taste card if you done get the staff in both the front of the house and in the kitchen, they obviously didn’t get extra staff in either!

I would vigorously NOT recommend this restaurant.",1,4.0,2.0,British,1
13,Moathouse Café,Food,Arundel, Café,314,One of many!,"Arundel is a real tourist hotspot. Our granddaughter wanted to go there because it sounds like the place in 'Frozen'!!!!!
Took a break to have a sit down and coffee and teacake. Nice place, good service, but there were so many tea places to choose from!
Only problem was the toilets were upstairs - my poor old knees! THAT'S why we live in a bungalow!
Try the place yourself.",4,1.0,2.0,British,0
14,Bailiffs Court,Accommodation,Littlehampton,Hotel,29,Quirky property and that’s where the fun ends ....,"During our 24 hour stay, I’m not sure we met a single person who knew what they were doing. And that’s not for the lack of staff. After what felt like a reluctant ‘end of shift’ welcome at the front desk, we were shown to our room at the other side of the site. The guy showing us around didn’t know the facilities and referred us to a new guide in the room and said everything we needed to know would be in there. We we’re left thinking why bother and just provide the key? However when we found our way around the room we just felt it lacked facilities and was old and antiquated - in need of an upgrade!
We had paid for one of the more expensive rooms with a four poster bed. This was probably the best part about it. The rooms are poorly equipped; an old sofa facing and dirty tv in a sitting room area, no mini bar despite being far from the main part of the hotel, large bathroom but the shower stopped working half way through washing and left one of us roaming the room for 15 mins covered in soap. We tried to call reception to report and get some help, but we’re told ‘turn all the taps on and that should reset it’. This didn’t work so we called back at which point they sent someone from house keeping, who on arrival said ‘I can’t help you’. We gave up, sat for a further 15 mins and had another go. Fortunately some cold water had returned enabling a rinse before dinner. We reported this when back at the house and received a £100 discount on the bill and an offer to move rooms. Having already wasted time and feeling frustrated, we stayed where we were to avoid the hassle of packing and unpacking again. We thought we’d just get up and leave in the morning.
The main house and restaurant are essentially a network of little rooms with a mish mash of chairs - plus the main restaurant. We were early for dinner and thought we’d grab a drink. We struggled to find anywhere to sit and when we did couldn’t to find anyone to serve us as they were all stood around chatting. They forgot to call us for dinner and after 15 mins we had to go and find someone. Sat at the table we were presented with a mostly empty bread basket and no choice, so declined, only to see full baskets with more choice being offered later. It took an hour and a quarter to receive our main course despite pre-ordering 90 mins earlier and we had to pour our own wine. The food was actually very good when it arrived.
Breakfast in the morning wasn’t much better as we sat forgotten waiting for coffee for 20 mins. We complained and were then asked what we had ordered again as it had been put in the bin. The hap hazard service continued as I received two poached eggs that were hard and looked like they’d been on the floor.
On top of this we paid a premium price for two spar treatments on day one. The treatments were actually very good but the-facilities, much like most of the buildings needed a good clean. Staff just stand around despite there being dirty cups and plates in the relaxation room, along with crumbs on the furniture. Towels just littered the place in the changing rooms and by the pool. Garden umbrellas lean against the wall inside, which just says we don’t care about presentation. The food and drinks are really expensive in the Spa and not great quality either. Two sandwiches and one glass of wine for £35.
All in all we felt it was a really poor experience. When we explained our disappointment at check out we were still only offered a miserly £100 off the final bill of nearly £1000. They advertise a luxury, unique experience but the reality couldn’t be further from the truth. Unique in its incompetence maybe.
We had paid the majority upfront when reserving our rooms but we left without paying the final amount in disgust given they weren’t prepared to take our comments and thoughts seriously. The arrogance in dismissing our experience as purely ‘our opinion’ is a further amateur hour outrage. We await a call...

AVOID THIS PLACE AT ALL COSTS!
Read less",1,3.0,2.0,0,1
15,The Roundstone,Food,Littlehampton, Pub/Bar,16,Very disappointing,"Let's start with the place- loud, grubby and far too chummy. We're customers not playground mates!
Food - terrible. Luxury fish pie was a gooey white mess with a few bits of fish. The hand battered Haddock was dripping with fat that left the few ill looking chips stuck to the plate and the dried up mushy peace looked on at the sideline wondering what had happened to its consistency.
Never again, no matter how many 40% off vouchers they offer. Clean up, train up and dish up would be a start.",1,3.0,0.0,British,1
16,Butlins,Accommodation,Bognor,Hotel,21,The Pub and Kitchen was a pleasant surprise.,"A group of 4 of us stayed 2 nights here and had a meal at the Pub and Kitchen on the Saturday. All 4 of us had the steak and all 4 of us asked for it done differently, rare, medium rare etc . We weren't expecting too much from a Butlin's restaurant but it was excellent. All 4 steaks were cooked to perfection, so much so that we asked to speak to the chef, Kelly, to congratulate her on doing such a brilliant job. We guys know our steaks and we had to say this was one of the best steak experiences we'd had in a long time. Outstanding !! The waiter, Tony (from Liverpool I think), was very very good and really helped to make the evening a very pleasant experience. Would highly recommend this restaurant.
Read less",4,3.0,2.0,0,0
17,The Holly Tree,Food,Arundel, Pub/Bar,84,Weekly quiz,"Lovely pub, food, and staff, shame about the quizmaster for the weekly quiz who’s policy is ‘I am always right’ even when he’s wrong! Never met such a bombastic and pedantic person for which reason we will not be returning, which is a shame as without him it would be a great evening.",5,3.0,1.0,British,0
18,Mustards,Food,Bognor, Restaurant,15,lovely food-incredible value-nice people,"Just come back from Sunday lunch with my wife.
First time visit but it will certainly not be the last.
Presentation of the food was top class as was the cooking.
The price -17.95 for two courses represents extremely good value.
Staff were very friendly and professional.
Deserves its best restaurant in Bognor rating.
I thoroughly recommend a visit.
ps-they serve cocktails and have a mixologist in Saul",5,2.0,1.0,Other,0
19,Cardanom Bay,Food,Bognor, Restaurant,12,Disappointed,"Have been using the restaurant for quite a few years. Went out with parents and they had warned us about additional service charge the restaurant has been recently adding. We get to the end of meal and request the bill, we find 10% is added. My parents are in the trade and point out this is a optional charge and there is no obligation to pay it! However on previous occasions they went to the cardamom bay and again this time, the higher amount including the 10% is entered by the restaurant into the chip and pin machine. I ask for the machine so I can put the correct amount in (without the 10%) One staff member became rather rude and others started pointing out to my parents that they had been charging this extra amount for a long time and what was the problem? Well the problem is you don’t levy stealth charges! Yes times are hard and we’re all trying to earn a shilling, but you don’t rip people off.......be open and honest and politely ask customers if they would like to leave a tip!!
So in summary food good, customer service needs improvement, bill/ payment methods need looking into....",2,3.0,0.0,Indian,1
20,Cinnamon,Food,Littlehampton, Restaurant,248,April anniversary meal ,"Meant to write this a few weeks ago.
We came out for a relatively cheap night out as we are saving for a few things, but still wanted to mark the occasion of our anniversary.
Nice and quiet on a Friday night though lots of deliveries were going out.

The duck tikka starter was to die for. I've never had it before and I wasn't disappointed! My other half had a mixed kebab and he said it was very tasty.

For main I had a chicken morisa, asked for extra chili and garlic rice. Beautiful. No complaints. Generous portions and presented wonderfully.
My partner loves vindaloo yet facncied the flavour of a tikka masala. So he opted for the spicy tikka masala which I think is his new firm favourite.

For side I just had to try the chili Dal. Whoa , next time I'd just be happy with that and a couple of sides. VERY impressed by the chili Dal. You don't get it on the takeaway menu , not the spicy masala or morisa. Which is a bit annoying but I guess that's the tug to make you eat in. I suppose you can ask for it though not tried yet possibly through a phone order. Anyway eating in is ten out of ten. Yum yum yum! And not extortion prices

",5,2.0,1.0,Indian,0
21,The Mezze,Food,Bognor, Restaurant,1,Family meal,"Had a fantastic meal tonight with the wife and in-laws the staff so friendly and helpful but even more importantly the food was stunning and very reasonably priced.
Can’t eait to go back and try more of your fantastic food.",5,2.0,0.0,Other,0
22,Arundel Castle,Attractions,Arundel,Historical/Culture,66,One of Finest Castles in England,"Beautiful Castel both inside and out. The grounds are a joy and there's so much to see. Arundel it's self is a lovely town and well worth a visit.
Read less",5,3.0,2.0,0,0
23,George Inn,Food,Bognor, Pub/Bar,23,Lunch at the George Inn,"Very disappointed at lunch at the George inn service was very poor waited a hour for 3 sandwiches, when I complained was told had to sort main meals out first, think it would be a good idea if you got yourselves some more staff as food not as good as first time we came. Won’t be returning any time soon.",2,3.0,2.0,British,1
24,Church Farm,Accommodation,Littlehampton,AccomOther,1,Family fun,"Just arrived home from a weekend away with my 2 children, sister and her 2 children. The caravan was very clean very modern and very comfortable. The site was very clean the amenities very good and all staff happy to help. We completely recommend for a lovely family holiday at any age.
Read less",5,3.0,0.0,0,0
25,Butlins Fish and Chips,Food,Bognor, Restaurant,3,"Godd food, gorgeous staff","We really enjoyed our food, portions were very generous. Emily, who served us, and Mateus, front of house, were really fun and welcoming and always smiling. Good place for the whole family.
My husband absolutely loved his whitebait starter, or as they call it here 'blanchebait'. Highly recommended.",5,2.0,0.0,Seafood,0
26,Angmering Manor,Accommodation,Littlehampton,Hotel,23,Lovely hotel - lack of vegan meal options,"This hotel is really lovely, super clean and has beautiful gardens with a great fitness suite and pool. Our rooms were grand with everything catered and prepared for perfectly. However, at all meal times there is practically no vegan or vegetarian options at all which was sad to see considering it’s 2019 - I had to buy my own breakfast and dinner elsewhere.
Read less",4,2.0,2.0,0,0
27,Forest Knights,Attractions,Bognor,Classes/Workshops,7,"A fantastic weekend, the course was amazing and beyond expectation","3 day bow course, from tree to flat bow all by hand,
fantastic weekend and so well looked after,
massive thank you to Wayne and David",5,3.0,2.0,0,0
28,Hotham Park,Attractions,Bognor,Nature/Gardens,118,Crazy golf,"If you go to the park you must go to the crazy golf course we had so much fun we did not stop laughing a great coarse at a good price
Read less",4,2.0,1.0,0,0
29,Spotted Cow,Food,Littlehampton, Pub/Bar,13,Works Night Out,"We had a wonderful works night out 27/06/2019. 15 merry ladies had wonderful food and drinks. The staff were fabulous all the food arrived hot and together no waiting around. Laura had been great and sent menus by email prior to the event so we could all pre-order our food this meant the evening was stress and hassle free. The night was busy as they had a live singing which meant that it was crowded by the bar and we could not easily get a drink- but we did not worry as the waiting staff constantly checked us and took our drinks order on the table.

Any company thinking of a large event should go to the spotted cow food and staff are WONDERFUL.",5,2.0,2.0,British,0
30,Premier Inn Arundel,Accommodation,Arundel,Hotel,1,Weekends in Arundel,"clean rooms, Beefeater restaurant has really good food, both for dinner and breakfast. Staff are friendly and welcoming. Our go to place when visiting Arundel. Just becoming a bit too pricey for w/e stays though.
Read less",5,3.0,0.0,0,0
31,Town House,Accommodation,Arundel,B&B/Inn,92,"Large room, uncomfortable bed",Stayed here for one night. Good large room and bathroom in a central location. The age and standard of the bed mattress was very poor. The shower was difficult to set for the right temperature and offered little water. Very poor value,2,2.0,2.0,0,1
32,Lantern House,Food,Bognor, Fast Food/Takeaway,3,Unusual to find a Takeway that doesn't deliver these days so not a good start,"Service was polite and pleasant but sadly that's where it ended. After spending 48.00 on what was, in essence, a small meal for three people it was disappointing to find such small portions compared to what we are used to with all other local takeaways. 2 large spring rolls that were best described as small to medium, 2 rice in small portion boxes,
 and 2 x sweet and sour dishes in containers 2/3 the size of anywhere else and minum content. I threw away the chicken and sweetcorn soup which had caught so only tasted of burnt sesame oil.
A disappointing experience with a feeling that it was poor value for money with the lower portion size and quality than other locals who would also deliver.",2,3.0,1.0,Chinese/Thai,1
33,Littlehampton Beach,Attractions,Littlehampton,Beach/Outdoor,552,Goes on forever,The beach is brilliant at low tide on a sunny day for children to paddle in safety it is so shallow.,5,2.0,2.0,0,0
34,Village House,Accommodation,Arundel,B&B/Inn,384,Monday Lunch,We met our friend who lives in Findon Village for lunch. We had spent a great weekend with more friends in Ferring. This real ale pub serves great food and is well known for their fish and chips. The Village is home to Josh Gifford’s horse racing stables and many famous pictures adorn the walls. The pub is very large and full of character with a pretty garden to the rear. For such a small village it is well served with hostalries.,5,2.0,2.0,0,0
35,The Mezze,Food,Bognor, Restaurant,52,Tasty!! ,"Just visited with my family and booked after the reviews on trip advisor! Not disappointed! It was extremely tasty food, good portions and kids options! Highly recommend!",5,4.0,2.0,Other,0
36,Arundel Castle,Attractions,Arundel,Historical/Culture,42,Beautiful gardens and great moat tour.,"We bought a Bronze ticket for the gardens. The tulip festival is stunning but an unexpected highlight for me was the moat tour which was free. Really informative and interesting it brought the history of the castle and it’s defences to life. 45 minutes well spent.As a family with 2 young children there is lots of space for them to run freely and tire themselves out in a beautiful setting. Will definitely be returning.
Read less",5,2.0,2.0,0,0
37,Butlins,Accommodation,Bognor,Hotel,3,"Excellent in most parts, disappointing in others.","Family holiday, 3 generations 3 children under 9. We had 2 new silver appartments next to each other.
Accomodation very clean and well appointed. It's a pain that they have blocked the direct path from the car park with the Big Top, Makes moving in and out more of a challenge.
Food in resturaunts excellent especialy the Diner. Amazing ribs
 Shout out to brilliant waitress Sarah.
The shop is reasonably priced but no fresh fruit beyond the odd banana.

Pool is great for the children. Differing levels and poorly marked edges make it a challenge for supervising grandparents. Good to read that they have raised the age on the rock slide. It was mainly deserted during our visit. This may also relieve the queues for the other rides.
 The changing rooms are well thought out but the trade off of being able to change little feet in the cubicle rather than the usual scrum at the door does mean that the floor looks dirty. They do clean it constantly.
Entertainment was ok.
Fairground was great indoors and out but why close so early??
Football, the robobike things and climbing coaches were superb. I think the nominal charge improved the experience.
Beach was fun at low tide and a short walk along the prom to the right is a great little play area.
My main moan is the arcade. The machines and tickets are a big hit with the children and adults who want a quiet coffee, but come on Butlins! We expect to loose money but I swear from observation that diligence in refilling tickets is poor. In the end they didn't get enough to win more than a lollypop and even at their bedtime the queue to redeem tickets was ridiculous. So they didnt even get that.
It was a good holiday for 5 days but I think 7 would have been pushing it unless you intend to go out and do some sightseeing.
Read less",4,3.0,0.0,0,0
38,The Lamb Inn,Food,Bognor, Pub/Bar,9,Awful sunday roast & rude owner,"Was visiting my cousin for the weekend so before heading home decided to have lunch so booked the lamb. We were first in restaurant at 12.30 so order taken promptly by lovely girl. On a sunday its a 3 course set menu for £19.50pp. For starters we ordered the fried brie & chicken lollipops. Received within 10 mins. The lollipops were the 2 popcorn sized bites on a bone in breadcrumbs-well overcooked & 2 bites. For mains we ordered roast beef & lamb. The roast potatoes were rock hard you couldnt even cut with knife, the yorkie burnt & the veg had a funny taste & well over cooked. The beef was so fatty, grisly & you couldnt even cut through it so my cousin couldnt eat it so we told the waitress. She apologised & took our plates away, she offered us another dinner but we declined. We were then greeted by the owner who came up to our table placing his hands on it & in an agressive manner said ""i believe you have a problem with your food"". He was unprofessional, rude and basically said there was nothing wrong with potatoes they were crispy, (they were like rocks) the yorkie is how they come (burnt?) & he & the wife checked our plates & nothing wrong. (Would love to see them eat it) My cousin said sorry we beg to differ as she couldnt eat it & his responce was ""ive taken 10% off your bill"" & just walked away!!!! A true professional manager should have apologised,listened to his customers with empathy & should have not of charged us for 1 of the meals as not eaten-a measly £3.20 off total bill & the rudeness was unbelievable. We simply paid & left without desert & £40 down for poor inedible food & bad customer service. Can see a regular trait of this owner reading other reviews-wish we had done our homework before booking. Will never be going back to this pub again sadly & will not be recommending.",1,1.0,2.0,British,1
39,"Crossbush, Beefeater",Food,Arundel, Steakhouse/Diner,28,Top Nosh!!!,Very packed with partygoers but we had excellent service from Kayleigh and was very attentive at all times. Meals were a bit slower than usual but it was because of Xmas. Our plates were full with lovely hot food and the chunky chips are to die for! We had main course and desserts and total bill was £91. Everybody was rushed off their feet but still came and asked if we needed anything.Fantastic hostelry with even more fanrastic staff. Well done!,5,4.0,2.0,British,0
40,Bailiffs Court,Accommodation,Littlehampton,Hotel,1,Overnight Spa Stay,"Had a lovely stay here, Spa facilities were great and the Spa itself wasn't overpopulated. Stayed in a ""mediaeval Climping room"" which was very comfortable, particularly enjoyed the open fire in our room. Evening meal was lovely, I especially enjoyed my pear soufflé and the chef put together a vegan menu for my partner, which she really enjoyed. Booked for my partners birthday in December, the hotel still took the time to add extra touches to our stay to mark that, despite it being three months after the event itself. Finally, the staff were great and service was remarkably efficient, and friendly. All in all a perfect stay. More expensive than I have previously paid for an overnight break, but I wouldn't hesitate to go back, it felt special and you couldn't begrudge paying the extra for it.
Read less",5,1.0,0.0,0,0
41,Spotted Cow,Food,Littlehampton, Pub/Bar,8,Disappointing,"We recently took some visitors there and it was awful. Menu had hardly anything on it, and what there was was very expensive. Seating had changed and was very uncomfortable. No atmosphere. Couldn't go into the conservatory as they said there was a wedding on, we didn't see anyone. It was not the place we had Christmas Dinner at. Very disappointing.",2,4.0,2.0,British,1
42,Norfolk Arms,Accommodation,Arundel,Hotel,11,Nice Hotel but he prepared for early wake up calls ,"I’ve stayed at this hotel several times, it’s local to my work and bang in the middle of Arundel. The hotel itself is fine, the staff friendly, the breakfast always brilliant, BUT... and it’s a big BUT! The last several times I’ve stayed here the fire Alarm has gone off at very unsociable times of the night. Sometimes more than once. When I stay away for work it’s because I need to be fresh the next day & saves me commuting for 2 hours from Bournemouth. I don’t know why the Fire Alarms keep going off, but I always get told by reception when I have a moan “that someone smoked in the room or a shower set it off”. Last night was the same & is probably the final straw for me in terms of staying at the Norfolk Arms.

I’ve never had any offer of compensation on the numerous occasions it has happened & the bigger concern for me now, is that I take it for granted that it’s not an actual fire, I don’t even get out of bed for these alarms. so one day a fire may actually occur and any frequent stayers will probably just ignore it.

Great shame because if it wasn’t for this I’d easily give it a 4 out of 5.
Read less",2,2.0,2.0,0,1
43,WWT Wetland,Attractions,Arundel,Nature/Gardens,62,Great for the kids and adults alike,"Nice day out with the family...4 generations of us and it was suitable for all...this would be great for all abilities as everything has been provided. Easy access for most things, even the boat ride. Loads to see and do, especially for the kids which is much needed...maybe more picnic areas as we struggled to find some that weren't around the play areas...more bins dotted around would be good too... lovely clean cafe. Price not too bad but don't mind paying for this type of attraction as it's a good cause. We went over the Easter holidays and did the duck hunt, which was too confusing for younger kids and too long winded.
Read less",4,2.0,2.0,0,0
44,The Swan,Food,Arundel, Gastropub,16,Saturday dinner,"Visited the restaurant on Saturday night. Enjoyed the general ambience and the bar area was very full. The restaurant was not full.

Ordered the “special” pork main course which was tasty but sadly was a very meagre portion size. Served in the centre of a small dinner plate. 3 small discs of the pork, accompanied by one small potato, some red cabbage and some sort of purée smeared on the plate. More like a starter size but at £21 felt it was very mean. Still felt hungry after this course, so decided on a dessert which I am usually too full to order!! Other orders within our party were the steak and a venison stew. Again the stew was a small portion served in a small pot soup toureen type dish with 2 tiny dumplings on top. Not great and my husband was disappointed.

All in all rather a very disappointing dinner but the staff are pleasant which slightly redeemed the evening.

Will not be rushing back here.",2,1.0,2.0,British,1
