,OrigInd,Town,Rating,Sentence,cleaned_sentences,noun_phrases,nouns,Topic
40,2521,Arundel,3,"D&JB Well that was a real shame. I passed this lovely pub by the river whilst on an afternoon walk, and looked it up on the Internet when I got back to my hotel. It all looked very good, so decided to walk 25 minutes to try it out for an evening meal.
Location and bar/restaurant very good, staff whilst polite did not seem that interested in serving me it felt like it was a bit of a chore.
Then we come to the food, which was really disappointing, my starter was crab mayonnaise and sourdough bread. Crab was good, bread was a bit old and dry and the butter so small it covered an inch of the bread. Main course chicken ceaser salad, which was nothing like the menu. Crisp cos lettuce was limp and soggy, no Parmesan shavings, no anchovies (despite being asked if I wanted them), two croutons and no crispy bacon.
I really expected a lot more!!!",location bar restaurant good staff whilst polite not seem interested serving felt like bit chore,restaurant good staff whilst polite,"['restaurant', 'staff', 'polite']",StaffGen
41,2524,Arundel,3,"Beautiful setting! I returned to this restaurant to try the food served here, I was told by my friend that this was his favourite place to eat. The staff were amazing and attentive.
Unfortunately the prawn cocktail was rather lacking rose marie sauce.Main course was rather a bad mistake and should have chosen Fish & Chips.",unfortunately prawn cocktail rather lacking rose marie sauce.main course rather bad mistake chosen fish chip,marie sauce.main course,"['marie', 'sauce.main', 'course']",VisitExp
44,2526,Arundel,5,"Amazing food Visted the black rabbitt on the weekend and was pleasantly surprised how good the food is. We sat on the decking under the willow tree defiantly the best spot in my opinion. We had pizza which was amazing we were both that impressed by the food we returned the next day for a roast which again was spot on. i have been an Arundel resident all my life and the black rabbit was a place to have a nice few drinks but the food was never any good so never bothered eating there. Obviously there has been some changes here for the better, We will be visting more often now it will be are go to place for a sunday roast. Outside bar also a good idea and our dog loved the doggie ice cream. Keep up the good work !",outside bar also good idea dog loved doggie ice cream,doggie ice cream,"['doggie', 'ice', 'cream']",FoodPort
45,2527,Arundel,5,"Breakfast We had breakfast this morning and what a fabulous experience it was. The service was fabulous, staff very cheerful and helpful, I have to mention Mia, she was very lovely, very cheerful and helpful. The breakfast was lovely, very tasty and reasonably priced too. We did have a little hic cup, with regards to the breakfast though, but this was dealt with very efficiently by Peter, no quibbles just professional service with a smile! We will returning for sure very soon!!!",little hic cup regard breakfast though dealt efficiently peter quibble professional service smile,hic cup regard breakfast,"['cup', 'regard', 'breakfast']",VisitExp
49,2531,Arundel,5,"Excellent! We arrived without a reservation and they accommodated us in between bookings. Sunday roast was fantastic with choice of beef or lamb with plenty of veggies. Burger was a bit too dry for medium but still nice and overall good value for money. After you can walk along the river, super quiet and relaxing. If you are feeling particularly athletic you can also start the walk from the car park in front of Arundel castle, walk to the pub and then back to the car. Recommended!",feeling particularly athletic also start walk car park front walk pub back car,car park front walk pub,"['car', 'park', 'front', 'walk', 'pub']",FoodPort
51,2539,Arundel,1,"Quick Family Lunch Wholly disappointed once again. I do not know why people recommend this place. There is no table service and when I went to order were told they were not doing sandwiches. Having gone back outside, we decided on a flatbread pizza, a child’s meal and a portion of fries.I had to order from 2 different places and collect one order. The food was nothing special. Maybe if I’d have forked out £15 for a main we may not have been so disappointed- although at these prices I would have hoped staff to have a smarter look and more professional presence. Will not be returning and do not recommend.
",gone back outside decided flatbread pizza child meal portion fries order different place collect one order,flatbread pizza child meal portion fries order,"['pizza', 'child', 'portion', 'fries', 'order']",Ordering
57,2546,Arundel,4,"Lovely place to sit by the river The Black Rabbit has always been a favourite when visiting Arundel. It was a lovely warm summers day so we sat outside with plenty of seating to choose from along the side of the river. There is an extensive menu to choose from which is reasonably priced. We were all happy with our meals and the service.
I only gave 4 stars as I felt they could do more to dispel the wasp issue as you were constantly having to beat of wasps. I know this is a natural presence but they did have one wasp trap over a bin near the car park; they need to place more of these where people are eating and drinking.
Otherwise enjoyable and would recommend.",know natural presence one wasp trap bin near car park need place people eating drinking,car park need place people,"['car', 'park', 'place', 'people']",FoodPort
63,2551,Arundel,5,Perfect Pizza Great to walk to this pub from north Stoke along the banks of the river Arun. Really beautiful location so understandably super busy but still plenty of space and the outdoor bar meant there was no wait for refreshment. The pizza serving airstream is awesome - we had the houmous flatbread (we couldn’t find the houmous on it initially but were given a pot of amazing houmous separately and could see that it struggles in the very hot oven) and the prosciutto one with mushrooms and cheese that was ridiculously tasty. Maybe time for a quick ice cream before we head off for the return walk...,maybe quick ice cream head return walk,quick ice cream head return walk,"['ice', 'cream', 'head', 'return', 'walk']",FoodPort
67,2558,Arundel,5,"Super lunch  A lovely spot for lunch and was delighted it was not massively busy. Super lunch, which included a home made pizza from a outdoor pizza oven. Would highly recommend the chicken Cesear salad, which is packed with different ingredients and a large helping of kitchen. Staff were very attentive and polite. A great find.",would highly recommend chicken cesar salad packed different ingredient large helping kitchen,chicken cesar salad,"['chicken', 'cesar', 'salad']",Choice
69,2559,Arundel,3,"Friendly waitress & beautiful setting I’ve been here for a drink before & it’s the perfect place to chill after a walk etc

Tonight we were with friends. Staff were friendly & service speedy. It’s the first time I’ve eaten here. I had the vegetarian falafel burgers with chips. It was dry to be honest. Very average in every way. Lots of dry chips, dry burger & little salad. I opted not to have the bun. Most certainly needs revisiting as a menu option. Some homemade coleslaw, fresh salad & improved presentation is called for.

The other guests were happy enough with their main course options of pie & mash, & salmon & mash.

Deserts seemed over priced. My chocolate brownie came with one very small scoop of ice cream & was a small portion for over £6.00. The Treacle sponge again only had one v small scoop of ice creama. The chocolate brownie was delicious & I don’t mind a smaller portion so long as I’m paying a reasonable price for it. The lemon tart had the tiniest amount of cream. So again on the dry side.

The hand dryer didn’t work in the ladies toilet & there were no paper towels to dry your hands. I really didn’t want to go back into the toilet cubicle to get toilet roll to dry my hands.

It’s a shame as it’s a fantastic location & beautiful looking establishment but lacks the quality factor with its food. We’d be unlikely to return to eat.",hand dryer not work lady toilet paper towel dry hand,lady toilet paper towel dry hand,"['toilet', 'paper', 'towel', 'hand']",Menu
70,2559,Arundel,3,"Friendly waitress & beautiful setting I’ve been here for a drink before & it’s the perfect place to chill after a walk etc

Tonight we were with friends. Staff were friendly & service speedy. It’s the first time I’ve eaten here. I had the vegetarian falafel burgers with chips. It was dry to be honest. Very average in every way. Lots of dry chips, dry burger & little salad. I opted not to have the bun. Most certainly needs revisiting as a menu option. Some homemade coleslaw, fresh salad & improved presentation is called for.

The other guests were happy enough with their main course options of pie & mash, & salmon & mash.

Deserts seemed over priced. My chocolate brownie came with one very small scoop of ice cream & was a small portion for over £6.00. The Treacle sponge again only had one v small scoop of ice creama. The chocolate brownie was delicious & I don’t mind a smaller portion so long as I’m paying a reasonable price for it. The lemon tart had the tiniest amount of cream. So again on the dry side.

The hand dryer didn’t work in the ladies toilet & there were no paper towels to dry your hands. I really didn’t want to go back into the toilet cubicle to get toilet roll to dry my hands.

It’s a shame as it’s a fantastic location & beautiful looking establishment but lacks the quality factor with its food. We’d be unlikely to return to eat.",really not want go back toilet cubicle get toilet roll dry hand,toilet roll dry hand,"['toilet', 'roll', 'hand']",Menu
83,2578,Arundel,1,"Great location,rubbish food We live only 15 minutes away and have been here over the years. We are not coming again despite the location.
The food and the beer is overpriced and of low quality.
We should have complained but we were entertaining visiting family and were uncomfortable about doing so.
The veggie plate starter was pathetic. My steak pie with a slop of mash and cabbage was cheap food but cost £13.50.
The beer was ok but expensive. The children’s meal of one very small fish finger and tired chips and peas was £7.50. Yesterday we went to another pub and the adult huge fish finger wrap with chips and salad was £5.95 !
The staff seemed pleasant but nobody seems to bother to clear the tables.",steak pie slop mash cabbage cheap food cost 13.50,steak pie slop mash cabbage,"['steak', 'pie', 'cabbage']",Choice
89,2587,Arundel,2,"Used To Be Brilliant I took my family to the Black Rabbit today for Sunday dinner. Booked a table for 4:15 (late lunch/early dinner). Not overly busy this afternoon. The girl serving us looked disinterested from the start.

The food came out quickly. My wife’s roast beef was dry and tough, my lamb felt like it had come out of the microwave. I think you can tell a lot by the roast potatoes on a roast dinner and once again they where dried up and tough!

At no point during the meal did anyone come and check on us or offer more drinks. We had a desert board plonked on the table after waiting 15 minutes for our plates to be cleared away.

The black rabbit was a lovely place and holds some good memories for my wife and I, but I won’t be recommending it again, and I don’t think I’ll be visiting for a long while.

If you’re looking for a cracking roast, try The Corner House in Worthing. It’s just been promoted to top of my list of places to go for a roast. Got to say for post meal satisfaction the Toby Carvery beats the black Rabbit on today’s performance.",got say post meal satisfaction toby carvery beat black rabbit today performance,post meal satisfaction toby carvery,"['post', 'meal', 'satisfaction', 'toby', 'carvery']",MealExp
99,2601,Arundel,4,"Lovely Pub Lovely pub and location just down the road from the centre of Arundel. Set by the river, the pub is well furnished and has a lot of character to it. Service was a bit mixed, the waitress was unsure about which drinks were available and as our table was at the back of the pub we felt ignored a bit. The food was really good, the lamb medallions were very tender. Feedback on the sundaes is that there was too much cream over icecream and flavour. I had the crumble which was delicious. Would recommend for a meal after a day in Arundel.",lovely pub lovely pub location road centre,lovely pub location road centre,"['location', 'road', 'centre']",VFM
112,2625,Arundel,5,"Delightful lunchtime visit We decided to make this our reward at the end of a nice long country walk and we were not disappointed, as it was such a superb day weather wise the pub was very busy with people making the most of a very early sping - I mean shorts and T shirts in feb?? wow!! Anyway back to the pub...We sat outside, there's lots of outside seating, some alongside the river in shade other tables hugging the front of the building, there are a couple of decent sized car parks but I should think in high season these would soon be full, given how much of a tourist attraction the town of Arundel is.Best way to visit would be to leave the car in a town car park and enjoy a ramble along the river bank!

There are some good real ales on for those that enjoy them and a good choice of wines. On to the most important thing....food! The food here was very nice, there was a wait as we were visiting in a busy lunch service, but it's well worth it. The sausages were fantastic, really tasty, and everything came out fresh and hot, Staff are attentive and friendly, one nice young lady fetched us fresh water for the dog without even being asked.
The pub is family and dog friendly, I would advise booking at popular times, a lovely way to finish a super walk along the river.",anyway back pube sat outside lot outside seating alongside river shade table hugging front building couple decent sized car park think high season would soon full given much tourist attraction town is.best way visit would leave car town car park enjoy ramble along river bank,river shade table,"['river', 'shade', 'table']",Booking&Table
113,2625,Arundel,5,"Delightful lunchtime visit We decided to make this our reward at the end of a nice long country walk and we were not disappointed, as it was such a superb day weather wise the pub was very busy with people making the most of a very early sping - I mean shorts and T shirts in feb?? wow!! Anyway back to the pub...We sat outside, there's lots of outside seating, some alongside the river in shade other tables hugging the front of the building, there are a couple of decent sized car parks but I should think in high season these would soon be full, given how much of a tourist attraction the town of Arundel is.Best way to visit would be to leave the car in a town car park and enjoy a ramble along the river bank!

There are some good real ales on for those that enjoy them and a good choice of wines. On to the most important thing....food! The food here was very nice, there was a wait as we were visiting in a busy lunch service, but it's well worth it. The sausages were fantastic, really tasty, and everything came out fresh and hot, Staff are attentive and friendly, one nice young lady fetched us fresh water for the dog without even being asked.
The pub is family and dog friendly, I would advise booking at popular times, a lovely way to finish a super walk along the river.",anyway back pube sat outside lot outside seating alongside river shade table hugging front building couple decent sized car park think high season would soon full given much tourist attraction town is.best way visit would leave car town car park enjoy ramble along river bank,front building couple,"['front', 'building', 'couple']",Booking&Table
115,2626,Arundel,4,"We'll be back! I visited the Black Rabbit 36 years ago on a first date with my husband, so it holds special memories and we like to try and go back every year.

The Black Rabbit is in a perfect waterside location with plenty of seating overlooking the river and with views of Arundel Castle.

I think the staff possibly got caught off guard today. Who would have expected the last Monday in February to have a full day of wall to wall sunshine and temperatures reaching 18 degrees?

It was like a warm Spring Day in April. The place was alive. We ordered food and were told it could take up to 30 minutes.

Not a problem until 55 minutes later we saw other people who had ordered long after us eating their food. I think we got forgotten but the member of staff was very apologetic, chased our order and it was on the table 10 minutes later.

The food was great and definitely worth the wait.

Question to the Black Rabbit – “We may have missed it - Is there a specific smoking or no/smoking area outside?”. The tables are close and it wasn’t pleasant to have four people on an adjoining table blowing smoke in our direction as we were eating?”",visited black rabbit year ago first date husband hold special memory like try go back every,date husband hold,"['date', 'husband', 'hold']",VFM
121,2631,Arundel,4,"Friday lunch We took a sneaky day off (run our own business....so it wasn’t a sicky!)
Headed to the coast from Surrey for the day with the dogs. Tried to get into a few pubs in the area but they either stopped serving or were hideous.
My other half had been here many years before and so we decided to see if they were still going and serving food all day!
When we arrived we wished we had come here first, great setting on the river with a view of the castle.
Relaxed and welcoming atmosphere, friendly staff and the food was good wholesome grub. We had the Camembert as a sharing stater as we were ravenous, only complaint about this place was not enough bread....even though we were hungry 3 to 4 pieces were not enough and there was so much cheese left there should have been more bread to dip.
Other than that, loved the place and we were lucky with the weather, sitting on the veranda with the dogs....we have a 4 month old pup that we are training so we need to find good locations with other dogs.
Definitely recommend but can imagine it gets very busy during height of season and weekends.
",headed coast surrey dog,coast surrey dog,"['coast', 'surrey', 'dog']",Ordering
122,2631,Arundel,4,"Friday lunch We took a sneaky day off (run our own business....so it wasn’t a sicky!)
Headed to the coast from Surrey for the day with the dogs. Tried to get into a few pubs in the area but they either stopped serving or were hideous.
My other half had been here many years before and so we decided to see if they were still going and serving food all day!
When we arrived we wished we had come here first, great setting on the river with a view of the castle.
Relaxed and welcoming atmosphere, friendly staff and the food was good wholesome grub. We had the Camembert as a sharing stater as we were ravenous, only complaint about this place was not enough bread....even though we were hungry 3 to 4 pieces were not enough and there was so much cheese left there should have been more bread to dip.
Other than that, loved the place and we were lucky with the weather, sitting on the veranda with the dogs....we have a 4 month old pup that we are training so we need to find good locations with other dogs.
Definitely recommend but can imagine it gets very busy during height of season and weekends.
",camembert sharing state ravenous complaint place not enough breadeven though hungry piece not enough much cheese left bread dip,state ravenous complaint place,"['state', 'complaint', 'place']",Menu
125,2642,Arundel,4,"lovely location Visited this pub/restaurant on Last Sunday of December 2018. Great location situated beside the river. we had a table for 6, food was very good, roast beef with all the trimmings. A large varied menu with much variety, but being a Sunday, we wanted to try out the ""roasts"", all good. staff were very attentive, it was quiet as we were one of the last servings in the evening, but we all enjoyed it and were last to leave the restaurant. Would imagine it is a very popular place in summer, views are lovely, and a nice outside area to relax over a couple of ales. Will definitely return. Good value.",would imagine popular place summer view lovely nice outside area relax couple ale,area relax couple ale,"['area', 'couple', 'ale']",VisitExp
143,2658,Littlehampton,5,"My wife’s birthday We found the Oystercatcher by chance today and decided to pop in for lunch. Now my wife and I eat a whole food plant-based diet (for health reasons) and when we told the staff they couldn’t have been more helpful.

Carol, our waitress at lunchtime couldn’t do enough for us so we decided to book for the evening as well, and we explained our dietary needs.

When we arrived for our evening meal Liz (our waitress), who had been there for seventeen years looked after us and Hannah, the manager was also on hand to make sure everything was ok.

They chef, who had been made aware of our dietary requirements had actually taken the time to prepare a special meal just for us based on our whole food plant-based diet.

This restaurant and its staff went above and beyond and we were humbled by their willingness to help and accommodate us.

The food was absolutely amazing.

So, if you are a vegetarian, vegan or on a whole-food plant-based diet I can highly recommend this restaurant.

They are friendly, caring and hugely customer-focussed.

More importantly, they are genuinely nice people.

We’ll definitely be back.

Thank you chefs, Carol, Hannah and Liz.

Best Regards

Mark & Deborah Dawes",carol waitress lunchtime could not enough u decided book evening well explained dietary need,carol waitress lunchtime,"['carol', 'waitress', 'lunchtime']",MealExp
145,2659,Littlehampton,2,"Poor bar service Have commented on this before. Nothing has changed. Recently: a few people waiting for service when I arrived. Large orders, no problem, diners going into restaurant. However, the single bar person gets overwhelmed with restaurant orders which obviously gets priority by the boss. Monica. Result: the queue builds. At a bar with no one behind it, as the singular barman is now a waiter for the restaurant. Next; similar problem with a twist. Wait 20 mins for service then the cash guy arrives just when it’s my turn. Single barman disappears for ten minutes. Not replaced. Then, I’m in luck. Ha! No one at bar. Single barman. Who is making ten coffees at a minute a time, with other drinks. He apologises. No problem with him or any other bar person. They work hard. Unlike the waitresses (never seen a male waiter) who swan round working efficiently but in their down time spend ages on the phone and congregate round their till discussing Strictly, no doubt. Would it not be a good idea, Monica and Monica’s boss (correct use of apostrophe, in case you were wondering) to train up an emergency bar person when the actual bar person gets overwhelmed?",bar one behind singular barman waiter restaurant,singular barman waiter restaurant,"['barman', 'waiter', 'restaurant']",Ordering
148,2663,Littlehampton,3,"Nice, but.... Went for Sunday lunch. I chose roast pork and my wife roast turkey. The menu claimed that they are hand carved by the chef but they are not. My roast pork was a chunk of belly of pork which I could not cut in slices with my table knife. Instead it came off in shreds. It needed a steak knife. My wife’s turkey was sliced but processed and not carved from the bird. Tons of veg. if you like that sort of thing. Excellent service. Just not the carvery I had expected.",roast pork chunk belly pork could not cut slice table knife,roast pork chunk,"['roast', 'pork', 'chunk']",Menu
152,2669,Littlehampton,1,"Disgusting Food On both occasions that we have eaten here the food has been terrible, have sent food back, Yorkshire puddings flat as pancakes, carrots and parsnips cut in half long ways and raw, sausages for the children not correctly cooked. Will never insult my digestive system by such rubbish food again.",disgusting food occasion eaten food terrible sent food back yorkshire pudding flat pancake carrot parsnip cut half long way raw sausage child not correctly cooked,food occasion eaten food terrible,"['food', 'occasion', 'food', 'terrible']",FoodGen
157,2672,Littlehampton,2,"Chips Been here before and last time said we would go back just to see if the food was any better. Overall the food was the same, mediocre uninspiring food. Opted for the hunters chicken with triple cooked chips. followed by the banoffee pie. Leaving aside the meat on the plate which was OK, but it all fell apart at the chips. These were NOT triple cooked, at best double cooked and all four plates of chips were the same. In complaining the answer was 'I will let the chef know'. Maybe a 'sorry' or a little more than 6 words.
Banoffee pie was more base than anything else and as dry as a teabag that's been left in the sun for a day!
All in all this is one place we will NOT be going back to and if you want low level pub grub then enjoy.",leaving aside meat plate ok fell apart chip,meat plate ok,"['meat', 'plate', 'ok']",FoodGen
158,2673,Littlehampton,1,"Sadly won’t be returning  It started off so well, the barman was so friendly and helpful. We ordered our food and the place was empty so wasn’t surprised when we had our main course served quickly. However, we’d ordered Caesar salad with grilled chicken. Disappointing is probably the best word to describe it. Soggy lettuce, tiny bits of bacon (pre cooked) and anchovies and dried out piece of chicken looking rather unappetising. We decided to order a cheese plate and a slice of lemon meringue. Half an hour later it still hadn’t arrived and it was obvious the woman at the bar had forgotten to order it in the kitchen. Fifteen minutes later it arrived. It seems the reviews on here are spot on. My advice is to probably go elsewhere.",decided order cheese plate slice lemon meringue,order cheese plate slice lemon meringue,"['order', 'plate', 'slice', 'lemon', 'meringue']",FoodPort
159,2674,Littlehampton,5,"Mum's 80th Birthday celebration Thank you so much for all that you did to make my mothers 80th Birthday celebration on Sunday evening such a success. It was a lovely evening, very relaxed with a great atmosphere and the food was lovely. You and your staff team were very helpful and friendly and ensured the evening ran very smoothly. So thank you so much and if we ever need a venue again for a large group of people we will definitely be in touch!",mum is birthday celebration thank much make mother birthday celebration sunday evening success,mother birthday celebration sunday evening success,"['mother', 'celebration', 'sunday', 'success']",MealExp
164,2677,Littlehampton,1,"Lunch Food was very poor, and not as advertised. Our burgers came with no onion rings, a seed topped bun instead of a brioche bun, had chunky chips rather than skin on fries and the lettuce which was also not advertised was under the burger so it was soggy and warm. Would define not recommend eating here. Also the caesar salad said it had lardons in it, but it was clearly streaky bacon sliced. Avoid if possible. Waitresses were also rude too.",burger came onion ring seed topped bun instead brioche bun chunky chip rather skin fry lettuce also not advertised burger soggy warm,skin fry lettuce,"['skin', 'fry', 'lettuce']",FoodPort
172,2686,Littlehampton,2,"Despite all I hoped for - food was Poor I had driven by a few times in my own and had also read some good reviews of this place, so in made a special effort to take my wife to the Oystercatcher.
With the lunchtime food that I was served it looks like I was the only one who made a special effort!
We had a very pleasant drink of draught lager and ordered some food. I ordered the Chicken BLT and
my wife wanted just some chips with skins on.
That’s where it all went downhill - the chips both on their own and with the BLT were over cooked to the point of them being inedible!
The bread that the BLT was in was dry and almost stale.
We had both had a long day and could not be bothered to raise the issue with the staff as in my opinion they should know if they are serving rubbish food!
It’s a pity as this was our first visit there and it will probably be our last.
Very disappointed!",long could not bothered raise issue staff opinion know serving rubbish food,issue staff opinion,"['issue', 'staff', 'opinion']",VFM
173,2688,Littlehampton,4,"Lovely waitress - Liz Birthday meal for my daughter. Liz was great, friendly, attentive but not over the top. Food of excellent standard. Would have given 5 stars but I felt it was on the expensive side.",lovely waitress liz birthday meal daughter,lovely waitress liz birthday meal daughter,"['birthday', 'meal', 'daughter']",MealExp
175,2693,Littlehampton,1,"Dinner out So we decided to go to the Oyster Catcher for a spot of dinner, wow what an experience, without a shadow of a doubt the rudest staff I have ever encountered, we got greeted by a woman called Emma, who just looked at me and said, ""Yes"", no pleasantries or welcome, but that's ok, then we ordered food and drinks, and whilst she was ringing it in, I saw a sign on the wall saying bar snax, and then noticed a covered plate, with olives, pistachios and chilli bites, so I lifted the lid and used a cocktail stick to have an olive, BIG MISTAKE.... Emma just looked at me as if I had taken a crap on the bar, and snarled ""you have to pay for those"" so I apologised and said how much do I owe you for an olive, apprantly £2:40 as they can't sell them after I removed one because of a potential allergy problem? I did explain that no prices are marked anywhere, that fell on deaf ears, I ended the conversation with a comment about needing a crystal ball. So I brought a bowl of olives that I didn't want, although the sign on the wall said they come with bread, they don't.
It doesn't end there... When the food came out another Emma, even ruder than the first one, had a go at me for moving tables after ordering food, I did maintain that I hadn't moved tables at all, but it appears it was our fault that someone had moved the table number before we sat down, I have never been spoken to as badly as I was tonight.",dinner decided go catcher spot dinner wow experience without shadow doubt rudest staff ever encountered got greeted woman called emma looked saidyespleasantly welcome ok ordered food drink whilst ringing saw sign wall saying bar snap noticed covered plate olive pistachio chilli bite lifted lid used cocktail stick olive big mistake emma looked taken crap bar snarledpayapologised said much owe olive apparantly 2:40 not sell removed one potential allergy problem,food drink whilst,"['food', 'drink', 'whilst']",Ordering
