,OrigInd,Town,Rating,Sentence,cleaned,noun_phrases,nouns,Topic
42,9217,Arundel,5,"Tea in the Castle after seeing the BEAUTIFUL Gardens. Recommended to us so we stopped on the way to Gatwick from Southampton. The impressive, well maintained castle set on a hill is the home of the Duke and Duchess of Norfolk. There's a parking lot across the street from the entrance. Our basic Bronze tickets (£13 ea) allowed access to the Fitzalan Chapel, Gardens, Cafe & Gift Shop. Other tickets included the Keep & more of the castle. There were buggys (golf carts) to drive visitors w/ mobility issues up the hill to the gardens & castle. I'm sure that is very much appreciated! It was interesting to see a cork tree on the grounds.

The extensive gardens were absolutely beautiful! With well planned vistas and water features, there was a surprise around every corner. Carefully shaped hedges surrounded the different sections and created a wonderful backdrop for the beautiful flowers. Arbors, fountains & benches were lovely accents. A long archway had apple trees trained over it and was heavy with fruit. Interesting veggies in the kitchen garden. A coffee shop w/ outdoor tables would have been a lovely spot to linger on a sunny day.

However, the day of our visit was cool w/ extremely high winds which made it difficult to enjoy the gardens properly. We went to the cafe in the castle to get out of the wind. There were lots of tasty looking meals & snacks to choose from. The staff were very pleasant & helpful as they had been everywhere else. We enjoyed our tea & scones - it's not every day you get to have tea in a castle!
We would have liked to have spent more time there - if we're ever in the area again we'll return to see more of the castle. Highly recommend!
Read less",coffee shopoutdoor table would lovely spot linger sunny,lovely spot linger sunny,"['spot', 'linger', 'sunny']",VisitExp
44,9220,Arundel,5,"Wonderful as always  Second visit this year, this time with my teenage son. Beautiful, stunning castle, the view of the castle just driving into Arundel is spectacular alone!
Well kept castle and gardens with lots to see for all ages. Beautiful interior furniture and wood work.
Highly recommend to all
Read less",beautiful interior furniture wood work,beautiful interior furniture wood work,"['furniture', 'wood', 'work']",Walking
46,9224,Arundel,4,"Great grounds in lovely castle Purchased the bronze ticket to allow a visit to the gardens and grounds, £28 for two adults is perhaps a bit expensive it does include gift aid so you get a voucher to use in the tea shop/restaurant/gift shop so it paid for our tea and coffee.

The gardens are very well maintained and stocked with many interesting unusual plants as well as ones you might expect to see. We were particularly interested to see the greenhouse full of chilli varieties. The vegetable gardens are full of fruits and vegetables and we were pleased to read that these are used by the castle residents although some are for sale but sadly no apples at the time of our visit. The money is used to support the running of the vegetable/fruit gardens.

The interior of the castle that we could see with our ticket was exceptionally well maintained and clearly loved and looked after. We were particularly intrigued by the toilets which are located in one of the corner circular towers, with each toilet stall being around the curve and each toilet having its own arrow window so you can peep out while using the facilities!! (Don’t worry there’s frosted glass in it so no one can see you!)

Talk to the various Staff members who are interesting and very knowledgeable.

It certainly makes a difference that the castle owners actually live there as it shows in how the castle is looked after and kept in such a great condition.

We spotted a big turtle in one of the garden ponds.

We had a really good few hours visit with the weather being sunny and at 10.30 on Saturday morning, it wasn’t busy at all.
Read less",great ground lovely purchased bronze ticket allow visit garden ground two adult perhaps bit expensive include gift aid get voucher use tea shop restaurant gift shop paid tea coffee,voucher use tea shop restaurant gift shop,"['voucher', 'use', 'tea', 'shop', 'restaurant', 'gift', 'shop']",Shop&Amenties
48,9224,Arundel,4,"Great grounds in lovely castle Purchased the bronze ticket to allow a visit to the gardens and grounds, £28 for two adults is perhaps a bit expensive it does include gift aid so you get a voucher to use in the tea shop/restaurant/gift shop so it paid for our tea and coffee.

The gardens are very well maintained and stocked with many interesting unusual plants as well as ones you might expect to see. We were particularly interested to see the greenhouse full of chilli varieties. The vegetable gardens are full of fruits and vegetables and we were pleased to read that these are used by the castle residents although some are for sale but sadly no apples at the time of our visit. The money is used to support the running of the vegetable/fruit gardens.

The interior of the castle that we could see with our ticket was exceptionally well maintained and clearly loved and looked after. We were particularly intrigued by the toilets which are located in one of the corner circular towers, with each toilet stall being around the curve and each toilet having its own arrow window so you can peep out while using the facilities!! (Don’t worry there’s frosted glass in it so no one can see you!)

Talk to the various Staff members who are interesting and very knowledgeable.

It certainly makes a difference that the castle owners actually live there as it shows in how the castle is looked after and kept in such a great condition.

We spotted a big turtle in one of the garden ponds.

We had a really good few hours visit with the weather being sunny and at 10.30 on Saturday morning, it wasn’t busy at all.
Read less",particularly intrigued toilet located one corner circular tower toilet stall around curve toilet arrow window peep using facility,corner circular tower toilet stall,"['corner', 'tower', 'toilet', 'stall']",Parking
54,9231,Arundel,5,"This is the real thing The other reviewers say it all. This castle and beautiful little town deserve the planning that it takes to get here. Arundel is a slightly out of the way village. That's good, as you don't want huge tourist crowds anyway. I had only time for the cheaper ticket, chapel and gardens plus entry to the shop and cafe. Those indoor areas give you some idea of the grandeur of the placce. The chapel is truly ancient and to me it did feel........ Well, awesome. The gardens are magnificent on a clear day. Huge stone walls surround them. Check the website as the castle has a long off season and is closed from autumn through to spring. It is still a family home, nothing like a ruin. You need plenty of time to see it to good effect. You would be disappointed if you set only 2 hours aside, that isn't really enough time for the whole thing. Take a small picnic to the gardens if you want, not a huge basket as you may have to leave that at security. Outside the castle the Arun River is nearby, where you will often see real white swans. Further up the road is a kind of Wetlands park, not cheap but it's supposed to be excellent for kids, and if you keep going, in under 15 mins you will get to a pretty lake with some nice walking behind it. It's just a pity that all accommodation for miles around is so expensive. Still, you can make it a day out, travelling from a hostel in Brighton.
Read less",indoor area give idea grandeur place,idea grandeur place,"['idea', 'grandeur', 'place']",Place
57,9235,Arundel,5,"Great day out We got there around 12 and bought a ticket that excluded the bedrooms, if you decide during the tour that you want to see these you can pay an extra £2 per person at the stairs that lead up to the bedrooms.

It is a bit of a steep climb but there is a little golf trolley available which will drop you off at the entrance to the castle itself

The rose garden wasn't much but then I'm not into roses. We then walked around the chapel which was really interesting, we stopped to have a little picnic on one of the benches dotted around or you can sit on the grass.

We then went to the gardens which were amazing and then went to the moat ( see Characters from our History on their website to see where the meeting place is) and had a really good ( free) tour of the defences and history of the castle. The guide gets you all involved and uses any kids in the group as characters from history for example Queen Matilda and King Stephen

We then did a tour of the castle and motte which had amazing views from the top - it did help that we went on a fine clear day and had no rain.

There's a shop and restaurant at the end of the tour - we didnt try the restaurant but it looked very clean.

After this we went for a walk around the town and had a drink at the Black Rabbit which has great views of the castle

 please speak to the volunteers there, they have a mine of information!
Read less",great got around bought ticket excluded bedroom decide tour want see pay extra per person stair lead bedroom,person stair lead bedroom,"['person', 'lead', 'bedroom']",FamilyExp
59,9235,Arundel,5,"Great day out We got there around 12 and bought a ticket that excluded the bedrooms, if you decide during the tour that you want to see these you can pay an extra £2 per person at the stairs that lead up to the bedrooms.

It is a bit of a steep climb but there is a little golf trolley available which will drop you off at the entrance to the castle itself

The rose garden wasn't much but then I'm not into roses. We then walked around the chapel which was really interesting, we stopped to have a little picnic on one of the benches dotted around or you can sit on the grass.

We then went to the gardens which were amazing and then went to the moat ( see Characters from our History on their website to see where the meeting place is) and had a really good ( free) tour of the defences and history of the castle. The guide gets you all involved and uses any kids in the group as characters from history for example Queen Matilda and King Stephen

We then did a tour of the castle and motte which had amazing views from the top - it did help that we went on a fine clear day and had no rain.

There's a shop and restaurant at the end of the tour - we didnt try the restaurant but it looked very clean.

After this we went for a walk around the town and had a drink at the Black Rabbit which has great views of the castle

 please speak to the volunteers there, they have a mine of information!
Read less",shop restaurant end tour not try restaurant looked clean,shop restaurant end tour,"['shop', 'end', 'tour']",Shop&Amenties
65,9246,Arundel,5,"Wow! A British Wonder We got the gold plus tickets which were a couple of pounds more. They were well worth it. You get to see a lot of the castle and it’s so well kept. It details changes through the ages too if you get the additional tickets to see the extra bedrooms. Staff are friendly and full of historical information.
The cafe is well priced too.
Make sure you take a trip to the gardens with their wooden sculptures and chefs garden. The greenhouses are beautifully kept and maintained.
Read less",make sure take trip garden wooden sculpture chef garden,wooden sculpture chef garden,"['sculpture', 'chef', 'garden']",Gardens&Grounds
76,9260,Arundel,5,"Hugely Impressive!  We visited the castle as part of a birthday treat, what a place to have come! Surround by a lovely town, with quaint shops and restaurants.

We arrived to medieval music, horses and entertainment and that was before we’d even bought our tickets. (The system was down to prebook so had to queue for 15 minutes, wasn’t a bother with all that was going on).

On entering the grounds there was lots of stalls and things going on.. it was quite exciting!

We immediately heard that there was a Jousting tournament on and the first completion was about to start. What a spectacle.. first some warming up for the competitors and then the event began. It was our first time seeing an actual event
rather than the usual stunt shows. But this was definitely better and more exciting.

We continued to explore the castle, paying for all access and we were really impressive with the castle and all its rooms. So interesting and very well presented.

We had our two children, 9 & 5 and they really enjoyed the activities and tour of castle.

I would highly recommend a visit!
Read less",surround lovely town quaint shop restaurant,lovely town quaint shop restaurant,"['town', 'quaint', 'shop', 'restaurant']",Shop&Amenties
78,9263,Arundel,4,"Advantage HHA Member.....Park Mill Road Having rejoined HHA again for the sixth year (£82.00..visited approx 25 properties each year) we decided to visit the castle on Sunday 4th as previously we had been in the area on the dates it was not open. Being a HHA member we are allowed free into the gardens and then pay an upgrade ticket in the castle shop (Gold £15.50 for two).
 Why they open the gardens at 10.00 but you can not enter the castle state rooms till 12.00 I wonder why ?. Having experienced a small queue at the castle entrance we were surprised how little there was of people inside the castle state room tour (perhaps most wanted to visit the gardens only) and there was no pushing or shoving as we have experienced at some properties. My wife and I enjoyed the free flow tour but we both think that audio description would be good for more information of the castle history. Well worth the time and monies.
Read less",advantage ha memberpark mill road rejoined ha sixth 82.00 visited approx property decided visit sunday previously area date not open,memberpark mill road,"['memberpark', 'mill', 'road']",Parking
83,9268,Arundel,4,"Good Very pretty and extensive gardens which are well maintained, found the castle a little disappointing as a visitor- grand building obviously, however found information to be minimal and patchy with regard to interior rooms and artefacts left with lots of unanswered questions. Would visit again but only the gardens
Read less",good pretty extensive garden well maintained found little disappointing visitors grand building obviously however found information minimal patchy regard interior room artefact left lot unanswered question,information minimal patchy regard,"['information', 'patchy', 'regard']",Kids&PlayArea
85,9270,Arundel,5,"Amazing Castle which dominates the lovely town Well worth a visit I suggest you buy the ticket that admits you to everything . The tour round the occupied part of the castle is very interesting . amazing furniture pictures etc and the norman keep is also woth a visit as it has views over the town and local countryside
Read less",amazing furniture picture norman keep also woth visit view town local countryside le,amazing furniture picture norman,"['furniture', 'picture', 'norman']",FamilyExp
87,9271,Arundel,5,"FABULOUS CASTLE & GARDENS U get a lovely view of castle walking from Arundel station-its only just over 10 mins walk to the side entrance to castle.Various pricings listed depending what u want to see but did gold plus which covered everything.Been a few times in past but its still worth another visit. Lovely items on display in various rooms ornately furnished with real history inside. They advise u to visit the Keep first as its right by entrance-bit steep as u would expect but if u like climbing and able u will enjoy.Nice views of cathedral,town and countryside from Keep.Take photos of courtyard from here or inside 1 of rooms overlooking as visitors not allowed here. Years ago u could take photos inside courtyard.The gardens are really superb-I think these have been extended since my last visit over decade ago-they really are in bloom with so many colours. Did leisurely 2-3hrs in castle and gardens to take it all in.Had time for putting green across from castle afters and meal in Red Lion pub in town.For £20 u would be hard pressed to beat this for the day.Highly recommended for whole family.
Read less",advise visit keep first right entrance-bit steep would expect like climbing able enjoy.nice view cathedral town countryside keepsake photo courtyard inside room overlooking visitor not allowed,able enjoy.nice view cathedral town countryside keepsake photo courtyard,"['enjoy.nice', 'view', 'town', 'countryside', 'photo', 'courtyard']",Walking
92,9276,Arundel,5,"Castle visit Lovely place to spend all day with family and kids.a lot of entertainment on our visit and lovely beer 😊.nice cafe inside .
Read less",visit lovely place spend family kids entertainment visit lovely beer nice cafe inside,family kids entertainment visit,"['family', 'kids', 'entertainment', 'visit']",FamilyExp
99,9284,Arundel,4,"Beautiful castle and gardens  It costs £20 per adult cheaper if over 60yrs. Not national trust so can’t use that😖. Lovely walk around the grounds, there are inclines so be prepared! But if needing help they do have buggies to drive the elderly or walking impaired. The gardens are a must, we kept and gorgeous! The castle was worth viewing. All of the castle volunteers and staff were very friendly, helpful and happy to share their knowledge. The castle in incredibly interesting and well kept. Once inside i did see value for money for the admission tickets. The Duke still lives there, and some rooms on show are still used for special occasions. Can get a meal and smacks at the Resturant or cafe.
Allow 2-3 to view and wear comfy shoes as you will do lots of walking.
Read less",get meal smack resturant cafe,meal smack resturant cafe,"['meal', 'smack', 'resturant', 'cafe']",Food
106,9294,Arundel,5,"The Home of the Duke of Norfolk Well worth a visit, you can get a slight discount on tickets if you book online via the castle website before 10am on the day which is pretty good. Note that The Main Castle Rooms don't open till 12, this isn't really an issue as you can go around the Gardens, Grounds or The Keep first if you so wish.

There are various different levels of Tickets, which admit you to a differing level of areas. I'd suggest going for the Gold ticket as this lets you view everything apart from the Castle Bedrooms. When you're going around the rest of the rooms if you so decide you went to see the bedrooms then you can simply upgrade when you get there for an extra £2.

The castle is in an excellent state of repair and I was really quite impressed, along with the guides knowledge do ask them some questions because they have quite a bit of extra detail they can provide around the various different rooms, the library for example has 10,000 books within.

The Keep (the oldest part of the castle) is currently going through a bit of renovation awaiting sign-off from English Heritage but you can still get some excellent views from this vantage point.

We looked around the castle rooms in the morning, taking lunch in the restaurant. Portions we found were a good size, and lots of seasonal specials which reflected the weather which was good to see, I opted for the Caesar Salad, but you could easily bring a picnic to eat in the grounds if you so wished. You can also come and go as you please, you just need to get a hand stamp to be re-admitted.

The gardens were quite spectacular with a cottage garden with lots of fruit and veg been grown and also a more tropical garden as well. As well as this there is greenhouses to look around and extensive grounds you can walk around, along with a beautiful rose garden when they're in season. There is easily enough to do here for a whole day, I'd certainly recommend a visit!
Read less",home duke norfolk well worth visit get slight discount ticket book online via website pretty good,slight discount ticket book online,"['discount', 'ticket', 'book', 'online']",FamilyExp
108,9294,Arundel,5,"The Home of the Duke of Norfolk Well worth a visit, you can get a slight discount on tickets if you book online via the castle website before 10am on the day which is pretty good. Note that The Main Castle Rooms don't open till 12, this isn't really an issue as you can go around the Gardens, Grounds or The Keep first if you so wish.

There are various different levels of Tickets, which admit you to a differing level of areas. I'd suggest going for the Gold ticket as this lets you view everything apart from the Castle Bedrooms. When you're going around the rest of the rooms if you so decide you went to see the bedrooms then you can simply upgrade when you get there for an extra £2.

The castle is in an excellent state of repair and I was really quite impressed, along with the guides knowledge do ask them some questions because they have quite a bit of extra detail they can provide around the various different rooms, the library for example has 10,000 books within.

The Keep (the oldest part of the castle) is currently going through a bit of renovation awaiting sign-off from English Heritage but you can still get some excellent views from this vantage point.

We looked around the castle rooms in the morning, taking lunch in the restaurant. Portions we found were a good size, and lots of seasonal specials which reflected the weather which was good to see, I opted for the Caesar Salad, but you could easily bring a picnic to eat in the grounds if you so wished. You can also come and go as you please, you just need to get a hand stamp to be re-admitted.

The gardens were quite spectacular with a cottage garden with lots of fruit and veg been grown and also a more tropical garden as well. As well as this there is greenhouses to look around and extensive grounds you can walk around, along with a beautiful rose garden when they're in season. There is easily enough to do here for a whole day, I'd certainly recommend a visit!
Read less",keep oldest part currently going bit renovation awaiting signoff english heritage still get excellent view vantage point,excellent view vantage point,"['view', 'vantage', 'point']",BeachFac
123,9319,Arundel,5,"‘Best’ castle! From the road bypassing Arundel it just looks like your average stately home... if such a thing exists; but IT IS FANTASTIC!
BEST EVER!
WORTH A DETOUR!
Worth several detours. You MUST see it (if you’re interested in English history and how this Catholic family kept its collective head(s) (mostly) at a time (Henry VIII, Eliz I) when so many were losing theirs.)
The grounds: beautiful. So well kept.
The divided Fitzalan chapel: so interesting. Never seen a divided church before. Go and see St Nicholas church too, to see the other side.
The Keep: impressive.
The main building: fantastic. I mean... there are relics from Mary, Queen of Scots: the gold rosary beads she held at the time of her execution. Who knew that such things existed (still)?

It is all so good.

I read somewhere that if you want an indicator of how good, or not, an attraction is, go to the toilets. The toilets here: in the gardens; in the house are the best too.
Read less",must see interested english history catholic family kept collective head mostly henry viii liz many losing,henry viii liz,"['henry', 'viii', 'liz']",VisitExp
126,9324,Arundel,5,"The best Been staying in Kent/Sussex for 2 weeks visiting a different attraction everyday. Drove abit further afield to visit Arundel Castle and Petworth House and were so happy we made the effort. Arundel Castle and gardens imo is the best we’ve visited.

The view of the castle and cathedral as we drove towards the town was absolutely stunning.

Big car park opposite the entrance with good toilet block and disabled facilities. We had lunch in a lovely tea room in the town a very short walk away.

My husband is in a wheelchair and from the moment we entered the gate till we left, we felt the staff were without question the best we have come across, so helpful and friendly.

We were advised what tickets to buy and the disabled van called to take us to the farthest point and we made our own way back down. The gardens are stunning, with an architectural section, greenhouses, a flower section and kitchen garden. All thriving. Good toilet block here and places to sit and a stunning view of the cathedral.

Next stop was the chapel and white garden. So much history and beauty. The lady in here reminded us of Joanna Lumley, gorgeous and went out of her way to help.

Then into the castle itself. We were led to a couple of different elevators, the second was tiny, to get to the start of the tour. Right from the start the castle rooms and fascinating history blew us away. The sheer size, elegant furnishings and decor, artwork etc, just breathtaking. Our one tiny annoyance was apparently our tickets didn’t allow entry to the bedrooms. Gold not gold plus. I think the ticket lady had assumed I would not want to see the bedrooms if my husband could not get up there.

We didn’t have time to use the cafe or climb the tower. All reasons for a return visit on a future trip. Btw, the tickets were a fair price. A couple of other places we visited charged a lot more and not as good.
Read less",big car park opposite entrance good toilet block disabled facility,entrance good toilet block,"['entrance', 'toilet', 'block']",Parking
130,9325,Arundel,5,"Brilliant dry moat tour The castle is very interesting and well worth a visit. There are lots of interesting things to see spanning many centuries of history and the gardens are some of the best planned, best planted gardens I have visited tended by enthusiastic staff. It is worth buying the gold ticket because it enables you to visit the bedrooms which are worth a visit and interestingly are still used when there are castle guests. The voucher that the gold ticket includes is redeemable anywhere in the castle. However, the star of the visit has to be the guide for the 'Dry Moat tour'. He is so informed, interesting and charismatic. He brought the history of Arundel alive, drawing in the audience to play characters from the history in order to make it all easier to understand and follow. He is absolutely brilliant.
Read less",lot interesting thing see spanning many century history garden best planned best planted garden visited tended enthusiastic staff,century history garden,"['century', 'history', 'garden']",Gardens&Grounds
149,9354,Arundel,2,"Really disappointing  For years I’ve been driving on the A27 and have always wanted to visit the impressive looking Arundel Castle. I wish I hadn’t as now the reality has destroyed the expectation.

Entrance is very expensive and also very complicated. 4 different price plans for a ‘normal’ adult, then vouchers to use at the over priced gift shop and cafe. You get asked at least 6 times during your visit to the castle to show your ticket.

The biggest disappointment was the lack of history explained. The information given as you walk around is in no sensible chronological order and doesn’t give any stories. You do however know the dimensions of a room, when it was renovated and by whom. I don’t care about that, give me some basic simple history please. Like in every other castle and historic home.

The wife and I were really looking forward to our visit and were left very disappointed. We were planing to bring the children sometime but we won’t waste our time or money now.

Please sort it out because it’s a beautiful place
Read less",get asked least time visit show ticket,time visit show ticket,"['time', 'visit', 'show', 'ticket']",VisitExp
153,9363,Arundel,5,"Tulip Season Had a wander round the gardens first week in May. The highlight was definitely the glorious Tulips which really shone out. What was also evident was that the daffodils must have been superb so next time we will come in April. The White garden is worth going to as well. We took the Silver Tour so were able to do the battlements and Tower. Certainly worth the bit extra
Read less",tulip season wander round garden first week may,tulip season wander round garden,"['tulip', 'season', 'wander', 'round', 'garden']",Gardens&Grounds
164,9371,Arundel,5,"beautiful gardens Entry price quite steep, but do get a discount in the shop within the ticket price. We are used to National Trust, and are members so do not often visit places where we have to pay entry. interesting and well planned route around the castle. Room guides were helpful and knowledgable.Gardens were lovely and tulips etc in bloom now were fantastic. Rose garden on the edge of flowering.Worth a visit.
Read less",used national trust member not often visit place pay entry,visit place pay entry,"['visit', 'place', 'pay', 'entry']",Place
167,9375,Arundel,4,"Do the Gold Plus Ticket You must go and you must see everything this is a building you can't take a bad photo of the tulips where out so the garden where lovely but I bet it looks great any season
Read less",gold plus ticket must go must see everything building not take bad photo tulip garden lovely bet look great season le,bad photo tulip garden,"['photo', 'tulip', 'garden']",Gardens&Grounds
169,9376,Arundel,5,"Great castle I do like my castles and this one is a gem.
We visited on a Saturday, slightly out of the main tourist season and the place was very popular with tourists, many of which were from outside the UK, which should help the balance of payments deficit!
There is plenty of parking in the town and opposite the main entrance for the castle.
As we are English Heritage members we got £2 per person off admittance but were not able to book online (which would have given us a £1 per person discount) so the net effect of being EH members was a £1 per person discount. I think it should change so that the EH members should be able to get a £2 discount + £1 online discount. Simply show your pass on the day to verify your EH membership.
What was a good idea was the way the gift aid works there. You pay more for your ticket but you get vouchers that can be used in the shop or café for a value that is £2 per person greater than your ticket. So we paid £4 more each but got a voucher for £6 to use in the castle – worth doing.
There is a one way people flow system in the castle and the staff don’t really like you going against the flow of traffic, as we did a couple of times. Saying that it got a little confusing about what level of ticket did what. We had gold plus £(22 pp with gift aid and £2 EH discount) so could go anywhere but once in the house we went past an area that people with gold plus tickets can access and then had to double back. To be honest I think one level of ticket should suffice unless numbers are trying to be suppressed in the apartments. Staff are friendly enough and will offer plenty of interesting facts if you engage them.
The café is nicely decorated with interesting chair designs, replicated on the high chairs, which is a nice touch. Drink and food was good and reasonably priced although the service / throughput was painfully slow. It needs re-organising – lots of people there doing stuff but not getting the customers through quickly at all. Come on Arundel you need to sort this before the really busy tourist season starts.
Another thing that is needed at the castle is an audio guide or a tour. There is so much to see and learn about it’s a real shame that these aren’t options.
Everything is immaculately presented and the castle itself is in tip top condition as are the gardens. Do make sure you take time to explore all the grounds especially the Fitzalan chapel and the amazing tombs in there.
You definitely need a full day here and to that extent the entrance fee represents fair value for money. A great castle but they could still make some improvements to the visitor experience.
Read less",good idea way gift aid work,good idea way gift aid work,"['idea', 'way', 'gift', 'aid', 'work']",Shop&Amenties
