,Name,Category,Town,Type,Contributions,Title,Review,Date,LocCode,Cuisine,Score
47,Norfolk Arms,Accommodation,Arundel,Hotel,6,Pre-Christmas night away,"Very well situated in Arundel as near restaurants and great pubs, just next to Castle too. Lovely old charm with friendly hotel bar. Beautiful breakfast in gorgeous dining room. Had lovely Christmas decorations too! Bedroom was large and very nice too, firm bed. Bath suite a funny green colour but nevertheless fine 😂 Downside: 1) upon booking in they charged us another £5 to park in their own car park overnight which wasn't clear on booking.com, a bit cheeky!! They had a Christmas function on which was OK noisewise however the fire alarm was mistakenly set off at 12.15 awaking all!
Read less",1.0,2.0,0,0
383,YHA,Accommodation,Littlehampton,AccomOther,70,"Fantastic location, great place to stay with a baby.",We came to stay at YHA Littlehampton for two nights with our one year old son. The en-suite family room was great. We were provided with a travel cot and there was plenty of room for him to crawl around. The kitchen was great for making meals but did get crowded at certain times. The YHA is in the centre of Littlehampton and perfect for walking to east beach or west beach. I would definitely make sure you walk to both. They are so different.,2.0,2.0,0,0
86,The Old Priory,Accommodation,Bognor,B&B/Inn,9,"Perfect place to be or discover the region of Bognor Regis, visit Goodwood or even Brighton Beach","We came for Goodwood Festival of Speed but it is something to discover anyway - hard not to keep the secret!
We stayed four nights and I wish we could have stayed longer. We had a very nice room with a private entrance and a high pitched roof, a cosy bed, a very good shower, enough space to leave the luggage and even a very nice pool area, in a good seize for swimming. We were lucky to have good weather so we could enjoy some sun in a private atmosphere and very well looked after garden and quiet surrounding.

Deborah is a very well trained and experienced host and cook. She takes care of everybody's longings and tries to make your stay unforgettable and comfortable.
Thanks for all the care and the tips we got :-)

The place is very good located, so that it gives you a lot of options to discover the region, their very friendly people, the very good pubs and Inns - especially the Royal Oak Pink Pub down the street (last order 18:30h!!! - but worth a visit).

The breakfast in the main house offers everything you like - everything is fresh and local. Personal wishes are looked after.

We have nothing to complain - you just have to be aware:
1. breakfast ist served until 9:00h - no later. You have to make a breakfast appointment the day before, so it can be prepared freshly and right in time! Try to take it easy - makes your day longer ;-)
2. If you are afraid of dogs, that's the place you get rid of your fear, as the house dog is the friendliest and biggest dog I have ever met :-) - please say hallo from me, if you meet him.

Give Bognor Regis and the region and the people an chance - talk to them!",3.0,3.0,0,0
248,Foxwood ,Accommodation,Arundel,AccomOther,176,Brilliant family camp site! ,"Nothing but good things to say. Beautiful woodland pitches, fire pits to cook or heat you up near every tent. Excellent toilet, shower and washing up facilities. The owners are brilliant, we made use of the quad bike transfer for £10. You can park very close to the pitches and there are lots of wheel barrows but the quad bike transfer made setting up very easy. We cooked on open fires but used the local takeaway one night too which is super convenient. Loads of open space for the kids to play safely and the pitches aren’t so close you feel on top of your neighbours.
We’ll definitely be back.",2.0,2.0,0,0
354,Premier Inn Arundel,Accommodation,Arundel,Hotel,0,Not great.,"The room was hot, the fan supplied was very dirty and on a timer so through the night useless. The breakfast was poor. Service at breakfast was lovely. Overall I am sorry but could not recommend staying here again even though it is in a great location.
Read less",3.0,2.0,0,1
360,Swan Hotel,Accommodation,Arundel,Hotel,467,A good hotel in the centre of Arundel,"A good hotel close to the river and the charming center of this historic town. Close to the castle and a number small restaurants in town. Good stay with a good breakfast. The coast is only a 10 min drive from the hotel.
Read less",2.0,2.0,0,0
196,Butlins,Accommodation,Bognor,Hotel,182,Family Xmas trip,"Every year we do something with our grandchildren and this year my brother and sister in law we’re taking their young children to the Xmas Butlins event and persuaded us to come and return it. We bought three of our grandchildren 5-7 & 12 10 out of 10 for good auld Butlins, they all had an amazing time! My Nephew and Niece are 4 & 7 they come often and I’m so glad we came too! The accommodation was a 3 bedroom apartment and was soooo roomy and fitted with all the necessities we needed. The entertainment was 2nd to none!! Amazing I recommend Butlins in the month of December! Your children will love its such good value for money! We will definitely be back next year xx
Read less",4.0,2.0,0,0
371,Premier Inn Bognor,Accommodation,Bognor,Hotel,1,Quality accommodation,"Lovely comfortable bed in a very clean well equipped room. Free Wi Fi and TV too. Easy to book and pay online. Room was very spacious and could easily accommodate two adults and two children without taking up all the floor space. What more could you want, it's a no brainer.......
Read less",1.0,3.0,0,0
7,Avisford,Accommodation,Arundel,Hotel,3,Not up to Hilton Standard ,"I am so disappointed in this hotel - staff are friendly .. so this is not about them but to say the hotel is tired is an understatement. The building maintenance is shocking with rotten windows and a full dog waste bin near my room obviously been like that for a while. I was fortunate enough to have a nice room but the wallpaper was coming off the walls. I think this hotel damages the Hilton brand such a shame as I am a loyal Hilton guest.
Read less",3.0,2.0,0,1
114,Avisford,Accommodation,Arundel,Hotel,20,Wedding Anniversary ,"On arrival my husband and I noticed the building looked grubby. We had been a few times previously so could see the differences. The reception couldn’t find our booking so was asked to take a seat. There was cobwebs over the lighting, so first impressions were not good. As we waited more than 40 minutes the room the amount of people complaining was astounding. Keys didn’t work, windows stuck, rooms too hot. One member of staff Esme was bossing the trainee around as she was trying to deal with us, instead of going around the reception desk herself. Also leaning over the desk, as she once again couldn’t be bothered to walk around it so I got an eyeful of her underwear as her dress was so short. Then proceeded to to hum to herself while everyone stood around annoyed.

The room was far from deluxe, basic and in need of some attention. The window wouldn’t stay open as the frame was rotten and there was a window pane missing which was covered up with plastic and cellotape. No air con so the room was scorching. They provided a huge extremely noisy fan which just blew warm air around as the window wouldn’t stay open. Just awful.

The lounge area had several lightbulbs out but was nice to sit in. The garden was lovely for eventing drinks.

The restaurant is our favourite part of this hotel. The food was lovely and the restaurant staff were well trained. Although service was a little slow but as it’s so lovely in the we didn’t mind waiting.

So that will be our final visit to this hotel. As there are our superior to this for the same money.

Goodbye Hilton
Read less",3.0,2.0,0,1
266,Best Western Bognor,Accommodation,Bognor,Hotel,185,Fish and chip Thursday ,"Evening meal out. Decided on the Thursday eve fish and chip special for both of us, with a bottle of wine for £25. Fish and chips were lovely! Nice crispy batter. Plum crumble and cheeseboard for pudding. Only 3 or 4 couples in the restaurant. Service was very good. Lovely staff. Hotel does feel a bit dated. Maybe better suited to over 60s.
Read less",2.0,1.0,0,0
3,White Swan Arundel,Accommodation,Arundel,Hotel,29,A lovely pub!,"Visited The White Swan for lunch whilst in the area. Really convenient location and such a friendly place. Great choice of menu, food was superb and staff friendly. Couldn’t sit outside as weather wasn’t great, but plenty of lovely areas to chill
both inside and out. Fantastic, thank you!
Read less",3.0,2.0,0,0
171,Avisford,Accommodation,Arundel,Hotel,10,Christmas Party,"We had an enjoyable evening here, but only due to the quality of the band, the DeLoreans who were superb. The meal was DIABOLICAL, an inedible re-heated mess. Yes, it's mass catering but the turkey they served was bullet hard and the Christmas pud dry as a bone. Whoever did the catering excelled themselves at sourcing the cheapest of ingredients, cooking way in advance and allowing it all to go nice and dry and rock hard before re-heating and serving to us poor unfortunates. Shockingly poor. Rescued by the live music!
Read less",4.0,2.0,0,1
363,Littlehampton Caravan Site,Accommodation,Littlehampton,AccomOther,462,2nd visit here,"We visited this site as we were towing a caravan for the first time, and other than the last few miles, it is all motorway or dual carriageway from our home. On our previous visit we were in a motorhome.
There are also many coastal and inland places that are interesting to visit.
The staff are very friendly and helpful as we changed our booking dates after we arrived.
There is a Morrison’s supermarket nearby, but a small convenience shop and 2 pubs within walking distance.
Very clean site with large pitches and wide roads.
We shall return, but not leave it 10 years.",2.0,2.0,0,0
50,Inglenook,Accommodation,Bognor,Hotel,48,Disappointed ,"Checked in. Room small but clean. Shower was very good. Room very hot and when you open windows very noisy from traffic outside. There was a fan in the room, this was noisier than the traffic!

Had breakfast there on first
And second morning. Chef took order and was super friendly and funny. Food was really good and freshly made.

On last evening decided to treat Friends to farewell dinner at the Inglenook and book the resturant for 4 adults and 2 children.

Meal was super disappointing. People next to us returned their meal (not sure why) and this should have been a warning! I had also seen a previous meal wending it’s way back to the kitchen.

We’re asked a few times if we were ready to order - finally made choices to be told half of them were not available! Now had to start again!

Ordered scallops starter. Small as expected- over cooked and cold! Also I think my husbands had been halved to make a serve and his were almost undetectable on the plate!

Mains arrive. Friends chicken supreme had less chicken per serve than the kids chicken nuggets! Also didn’t look that nice. The trio of pork was ok but not cracklings on the crackled one! Fish was incredibly small and probably should have been thrown back!

Very disappointed.

We were charged for an extra fish which we had actually cancelled when we saw the size on another table and changed for the supreme - which was equally small.

Final mornings breakfast - different staff member. Bit rude. Took order. Came
Out with plates held in a towel. Ot oh - well bacon had probably been kept warm for quite a while as almost impossible to cut and scrambled egg where previously had been freshly made was mushy and sat in a pool of water-microwaved? A pet hate of mine. Saving 3 minutes of time and the worst thing ever! Fork literally fell through it! YUK! Did not eat and left it all. Service staff did not question why I had ordered a plate of food and left it all!

Would not recommend the food or resturant sadly.

The Sunday roast I did not have but just say it all looked lovely. This was with the first chef I in countered who was very friendly. Polite and funny. Would highly recommend him and not the one who cooked the night of the dinner and the following breakfast! Sadly did not get his name.",3.0,3.0,0,1
36,Butlins,Accommodation,Bognor,Hotel,110,Goodbye Bognor,"This is my third consecutive holiday with Butlins, for the last 2 years we’ve stayed at Skegness and we’ve not been disappointed by our stays there.

This year we decided to stay at Bognor Regis instead, we fancied a change of scenery and having previously been to Minehead many years ago it was about time we tried out Bognor so we could compare all three resorts.

Well let me tell you from our personal experience Bognor isn’t the place to be. So where do I begin...

Well checkin was very chaotic. Given rough directions where to drive round to in order to check in and got a bit confused by this. No one around to direct you. When we got to the checkin area it’s a small round room where everyone does the British thing of queuing around the room and out the door. While the process was fairly smooth it was chaotic you couldn’t hear yourself think with so much going on.

3pm it was time to go to our room, on arrival it seemed to be okay but then we realised it wasn’t up to scratch. Hairs in the bathroom sink, shower was dirty, wrappers left behind bedside cabinets, dirt on the floor in the bedrooms. Not impressed. Back to the checkin desk where the lovely lady there I think called Tracie who was great arranged for housekeeping to come back. Literally 15 minutes later a lovely cleaner arrived and was shocked at the state of the rooms. She did an amazing job and the accommodation was spotless. However as we used the accommodation we noticed more problems. Bulbs out in various rooms, bathroom extractor fan not working etc. Back to checkin and Tracie again got it dealt with.

The next day we took a trip to Splash world. Lots of singing and dancing about how it’s all brand new etc. Bit disappointing from an adults point of view. Lots of rides for kids but only 2 for adults excluding the 1 family ride and no where really to have a proper swim. The wave pool had to be shut twice due to metal bars coming loose and floating into the pool. Considering this is brand new it’s rather shocking. Half the changing rooms where blocked off too and while this is great there is a machine to dry your swim wear only 1 was working so queues for that. Yes I get it’s a family place etc but it’s all catered really for young children and teens. Surly a decent thing would of been to refurbish the old pool and have both?

That same evening there was a major power cut in Bognor and while this isn’t something Butlins can do much about, staff where running around like headless chickens not knowing what to do. You’d think a resort this size would have backup generators to even just supply main lighting to main buildings and accommodation but clearly not. I get it’s not something Butlins can control but communication could of been better. As a result of the power failure our evening meal was a no go but Butlins gave us £30 of vouchers to use on restore which was a nice touch. Thanks to DJ in guest services.

Other niggles, shower in the room is like a trickle of water, maintenance replaced the shower head but no change. Towels are only replaced with clean ones on Wednesdays and Sundays (Unlike Skegness where it’s daily and more are given if asked, though I asked for more it was a struggle). Layout of the whole place is a bit poor so much waking to get to/from accommodation to entertainment etc.

We met a lovely couple at Bognor Regis too who where staying at the Shoreline Hotel. They also had problems with leaking toilet, bulbs out etc and maintenance had to go to their room multiple times so it appears the general maintenance of the camp is very poor.

And where do I start on the entertainment. Reds was closed so only entertainment really was on Centre Stage and it was a bit piss poor really. Elton John, ABBA etc while all great music it’s sung by the same people each night. Just an excuse to save money I guess by using in house singers who can’t give a proper performance. Really poor performance here Butlins.

Best part of the entertainment was the Panto. 10/10 really funny and a great laugh for all the family. Have seen them over the last 3 years and they’ve all been amazing!

Overall it’s not the best out of the 3 sights, personally I think Skegness has the upper hand over all 3 resorts. I’d rather go to Minehead or Skegness in the future. While I’ve booked next years break on resort with the lovely Sarah who i must add was great during our stay helping us with our booking for next year and even our assisting guests during the power failure, my stay won’t be here at Bognor. My stay is booked for Skegness.

Thanks Bognor you’ve been well ummm... not great.

Also for note Bognor town seemed rubbish no decent arcades or shops for rock etc open in October a week before half term! Seemed like a ghost town.
Read less",4.0,2.0,0,1
180,Premier Inn Littlehampton,Accommodation,Littlehampton,Hotel,1021,Well maintained,"A quiet Premier Inn with a restaurant next door, plenty of parking. We had a room upstairs in the annex. It had a double bed and settee, beverages, towels and soaps. The heating and air conditioning were in working order. The room was clean. No opening windows.
Read less",2.0,2.0,0,0
211,Butlins,Accommodation,Bognor,Hotel,5,Terrible behaviour drunken,"I booked the 80’s weekend for myself and two grown up daughters. I understood it would be an adult weekend and that there would be drinking loud music dressing up etc which I thought could be a fun and upbeat weekend centred around live music.
Unfortunately the experience was not positive. We arrived on site at 5:30 ish bearing in mind you cannot access your accommodation till 4pm. There were already people so drunk they were unable to stand and vomiting in the toilets.
The first night the behaviour of people on site made us feel intimidated and unsafe. Large groups of drunk men making lewd comments whenever females passed, which if made in the street could result in arrests under sexual intimidation. Noise levels throughout the night were high, which we expected but At 4am the people in the accommodation above ours were kicking the doors banging slamming and vomiting.
Hours and hours of shouting banging and loud music throughout the day and night, I know I may sound like a boring old whatsit but if it was clear when booking then I wouldn’t have booked it.
The Saturday morning we went out to see if there were any of the other activities on offer eg the pottery painting etc only to be informed that they have to close these on the adult weekends as the “ men get in and smash the place up”
It felt unsafe, a lack of security / Butlins staff except at the bars. Check in offices etc closed so no one to talk to I had to ask in the restaurant how we could check out. They confirmed they had heard there were “some rude, difficult characters “in the area we were staying. i’m Not a prude or of a fragile nature. I feel there is not enough information given when booking as to the expectation you should have. They have a behaviour charter but it seems these do not apply on adult weekends.
It may be the case that our experience is not the norm but it was our experience. Unregulated groups of very drunk people spoiling the experience for others.
Again if you just want an 18-30’s experience and your 30-60 this may be just what you’re looking for ( and why not) but if you just want a fun weekend cantered around the music rather than just how much alcohol can be consumed then maybe not.
Read less",2.0,2.0,0,1
349,Arden B&B,Accommodation,Arundel,B&B/Inn,47,Beautiful gem of Arundel,"Came away for a night with friends and what a place. The rooms were all superbly decorated and our bathroom, redone literally the day before so was perfect and very high spec! Ideally situated in the heart of Arundel with walks to the castle and countryside right on the doorstep.
Lucie is a fabulous host and made us all feel so welcome, not to mention cooking up a tasty breakfast too! Thank you
Read less",1.0,2.0,0,0
321,Norfolk Arms,Accommodation,Arundel,Hotel,252,Lovely hotel and location ,"We had a one night stay here to celebrate my birthday. The hotel is located right in the middle of the High Street, with easy access to all that Arundel has to offer - the Castle, cathedral, river, walks, shops and restaurants. The staff were pleasant and helpful and our room in the annex was spacious and warm, with a very comfortable bed. The hotel, like the town, has a lot of history, and the breakfast room with its high ceilings and windows is magnificent. We had a very good value for money package. Breakfast was everything you would expect in a hotel of this type, and included a good vegetarian option. A very pleasant stay.
Read less",1.0,2.0,0,0
164,Travelodge Fontwell,Accommodation,Arundel,Hotel,2,Poor travel lodge,"Really rundown in a poor state really need of overall maintenance redecoration . Bedrooms need to be re-modernised not 70s .Sorry not the best .Such a shame as in a great location Of West Sussex. With walks traditional pubs around .
Read less",3.0,2.0,0,1
17,Butlins,Accommodation,Bognor,Hotel,12,Waste of money we left early ,"Honestly, go somewhere else.

This place is expensive for what it is.

The new splash water park is terrible. Disgusting changing rooms absolutely filthy. Water in pool freezing, hair and dirt in all the water. 30 minutes queue for rides. Open to the public so very very busy.

Accommodation was dirty and dusty everywhere. Room service came didn’t replace tea bags/milk etc.

90% of staff miserable and rude. Especially at check out. Asked for our room number and said that’s it you can go..

Didn’t ask how the stay was etc

Food was over priced and on par with my local weatherspoons.

£180 a night, trust me go aboard or anywhere else but here!!
Read less",2.0,2.0,0,1
244,Butlins,Accommodation,Bognor,Hotel,16,In need of a make over ,"Having spent a lot of my childhood at the site I was excited to come back as an adult with our family. We booked a kids weekend with my sister, brother in law and child (just under 2), my parents and my parter (I am pregnant).

The accommodation was basic but clean. Couldn’t complain about location or facilities in the room apart from the uncomfortable beds. All members of the party woke up with back ache every morning. Housekeeping were really good, and made shapes out of the towels every day which was fun!

The food in the deck was good with a lot of variety. Only comment would be that the one night I had pasta from the pasta station the guy was too busy talking he forgot to actually cook the pasta and only realised once the sauce was ready so I had to wait double the time for the meal.

The resort itself is perfect for kids, however it is looking tired and in desperate need of refurb. Feels like there’s too much accommodation and not enough activity for the masses. All good and well spending money on new additions (the pool) but what about maintaining the facilities you already have?

Also barely saw any red coats during the trip. Isn’t that what Butlin’s is known for?!

Haven’t decided if I would go back.
Read less",1.0,2.0,0,1
21,Swan Hotel,Accommodation,Arundel,Hotel,172,Short changed in the bar,"Visited this pub on a say trip to Arundel with my retired and disabled brother. He bought the food and drinks and paid cash. We got to our table and had kept saying to me that something wasn't right. I saw her handed over two 20 s and he showed me the change that was €7 we'd bought 2 drinks and some squid. Seemed rather overpriced so I checked the menu and he's been short changed by a massive £10. I went back to the bar to poinr this out and the barman wad totally non plussed like this was meaningless. I was very concerned. Yes he gave us our £10 but no apology and no reparation. It's a big mistake to make.
I think most people wouldn't even realise. Made me wonder if it's a common ploy there or if they are so used to cards the staff don't take much notice of notes and don't even look at the denomination.

Very worrying...check your change carefully if you go there.
We went in this pub because it's a Fullers and does food assuming they have standards.

What a shame.
Read less",2.0,2.0,0,1
157,Premier Inn Littlehampton,Accommodation,Littlehampton,Hotel,26,Worst Premier Inn I have ever stayed at,"Absolutely AWFUL. Check In was fine, but I got put in a room in the ""New"" block which meant a walk outside a 0 degrees celcius :-( When I got to the ""New"" block, the front door was swinging in the wind, which meant the enterance and corridors were also very cold. My room was cold (until I found the Aircon control). Having set the aircon to 21 Celcius I'm then confronted with a system that's noisy (sounds like a jet plane cruising). Then when I went for a meal at the attached pub/restaurant that was dire (I left Hungry) and because of this experience I cancelled my Breakfast at reception. Finally (and to me the last straw - hence this poor review) when I went to order pizza from a.n.other I needed a postcode, only the Post Code on the website was advertised as BN16 1AF, when infact it's actually BN16 1EB. Complete disgrace. WORST Premier Inn I have ever stayed in (and believe me I've done quite a few). Recommend - certainly NOT.
Read less",1.0,2.0,0,1
26,Butlins,Accommodation,Bognor,Hotel,34,Cracking weekend,"Having resisted my wife’s efforts to visit Butlins for several years,, I arranged a visit with a 20 person group of friends to visit BR for her surprise 40th birthday celebration.

We had a fantastic time, the room in the Ocean hotel was fine there than the heat (Rooms are so hot) the amenities are all you need and the shows were fantastic, we visited for the adult only Bootleg ball and for sure we will be back, highly recommended.

If I could offer one suggestion to Butlins apart from the heat of the rooms already covered above would be that 09:00 for breakfast starting is a bit on the late side for the early risers and a view that was shared amongst several guests
Read less",1.0,3.0,0,0
369,Butlins,Accommodation,Bognor,Hotel,18,Disappointing half term break,"We booked a Gold apartment for 3 adults & 2 children February half term and were very disappointed: The accommodation smelt stale and was not clean when we moved in with a thick layer of dust on the dishwasher, rubbish down the back of the sofas, dirt, elastic bands and clips behind the bedroom drawers and stained bedroom curtains. We had only 1 dishwasher tablet left for the whole week and dirty wet towels we left on the floor were folded for us to reuse. We asked Guest Services what we might expect from daily housekeeping which we had paid for and were told only beds were made & bins emptied unless we requested otherwise. This is hardly daily housekeeping and we never saw the housekeeper to ask for more cleaning. Reception staff were apathetic to our complaints and so we bought some cleaning materials ourselves to get the job done. We could only access the cutlery drawer by opening the fridge door first (bizarre) and the fridge had door struts missing so the milk fell out every time it was opened! Entertainment and site facilities were generally good so it’s a great pity that the accommodation was such a let down. We filled in a satisfaction questionnaire and requested feedback but have received no response to date -again disappointing.
Read less",1.0,2.0,0,1
373,Shoreline,Accommodation,Bognor,Hotel,117,Comfortable stay,"Stayed four nights with hubby and two kids on a half board package. The room was lovely with a sitting area and imitation boat wheel and octopus mat. We had a partial sea view which was nice as too cold to go to beach.

Towels provided, toiletries and tea tray and fridge in room. Microwave on each floor by lift great for warming kids foods.

TV basic freeview channels one in main bedroom and other in kids room with beds.

Positives: spacious room, daily room service, iron and ironing board, food package excellent includes fruit juices and hot drinks

Negative: stains on decorative cushions bed runner and sofa, no sockets by bedside table, bed side lamp dim, restaurant crowded often queues, check out too early 10am.Very small lobby area. Bed sheets not changed for whole of stay, towels alternate days. Not enough variety in tea tray e.g. herbal tea and no biscuits.

Wireless free but limited to 300mb so finished quickly should be limitless.
Read less",3.0,2.0,0,0
