,OrigInd,Town,Rating,Sentence,cleaned,noun_phrases,nouns,Topic
206,111,Bognor,5,"Great holidays for young families  We chose Butlins for our holiday as we have a 17 month old and another baby on the way so we wanted a place that would be able to cater for very young families and on the internet Butlins appeared to be the answer. We have not been disappointed.

From the moment we drove into the resort we were greeted by the friendliness and enthusiasm of the Red coats that I remember when I holidayed at Butlins as a child. Parking was easy and there was an abundance of luggage carts to make transportation of our bags super simple. Check in was very quick and we were provided with a wallet with all the tickets and details of the resort facilities and activities that we would need for our stay.

The reception staff were consistently lovely and very informative when we asked for recommendations and were very helpful when we had issues with the TV in our room. We couldn’t view the CBeebies channel; an actual disaster for our child who loves Justin Fletcher and Hey Duggee.

The room far exceeded our expectations if I’m honest. A lovely big bed for mum and dad and a great sized bedroom for two children in the form of a bunk bed. If your children are old enough they even have their own small wall mounted tv to enjoy. Our baby was too small for the provided beds but the floor space comfortably accommodated our travel cot. There is a small wardrobe for them with plenty of hangers and a well placed multi coloured sensory light which our baby loved. One of the best features was the replacement of a traditional bedroom door with a child friendly pirate themed curtain with a split up the middle which would mean a child could easily and safely get to their parents in the other room and vice versa.

In the bathroom, the wall designs have again been tailored for children in a fun and friendly way.

In the main room the child friendly features continue with an ocean themed rug and a wonderful large octopus cushion which my child loved throwing themselves on or sitting and reading on. There is also a large board on the wall with a ships wheel, a compass, a radar and an engine gear selector to be played with. This was very well received by my child. The ocean themed colours were continued with the wall paint colours, the curtains and the bed runner.

The cleanliness of the room was also of a fairly high standard. However there was one day where I’m not entirely sure what happened as the room was definitely serviced but we started the day with four towels and ended it with three and sadly the biscuit crumbs my child dropped mere minutes before we were heading out were still apparent on the vinyl floor when we returned. We’d normally have cleaned them up but pressed for time we thought this would be picked up by the cleaner with a sweeping brush but it wasn’t. This was disappointing.

On the resort I can not recommend the Splash centre highly enough. Fabulous, spacious changing facilities, plenty of lockers (take £1 coin or a trolley token) and lots of showers. The only thing I would note is that as shoes are allowed in the changing rooms there is a lot of dirt on the floors in the changing cubicles and despite seeing several cleaners the turnover is so high they couldn’t possibly keep up. Take your flip flops. Also, whilst there is a provision of hair dryers they are not the greatest.... I managed to dry my fringe and had to reluctantly retreat back to the hotel to finish the job.

The pools are lovely; we stuck to the very small pools which were lovely and warm and had an abundance of floats and toys and also several shallow slides for the little ones to enjoy. In another pool are lots of fountains and shooting sprays of water. Then in the centre is a large tiered fountain which my child loved splashing with. Sitting behind this is the wave pool with some small fountains at the foot. We all loved the wave pool. I can’t comment on the bigger slides or outdoor areas as we didn’t personally use them but they looked equally good fun.

The dining on site is fairly varied but not extensive. We sampled The Diner (American), Papa John’s (Pizzeria), Scoop (Ice Cream), The Beachcomber Inn (Pub Grub) and the South Coast Restaurant (Mixed buffet). In my opinion I think they could do with a sandwich and salad offering as we really struggled to find food we would normally have for lunch. Also, if you have not bought the dining package then breakfast can be quite costly to pay as you go (£11.95 an adult) as the only other place that does breakfast (The Beachcomber Inn) doesn’t start serving breakfast until 9am. Anyone with a toddler will know breakfast cannot be delayed for very long once they are awake so we were given little choice. Don’t get me wrong, the buffet option is excellent and very extensive but if you only want tea and toast (like my family) it’s pricey. If you like a lovely big fry up, pastries and a great continental selection then it’s a good deal.

Similarly for dinner, the pay as you go buffet option does add up (£23 an adult) when compared with the offerings of some of the other restaurants where our bill for two adults and one toddler never rose beyond £35 total for mains, desserts and (non alcoholic) drinks. Again, the buffet option is hugely varied but having now experienced the expense of pay as you go dining, I’d definitely consider purchasing a dining package on a future visit.

The entertainment for all ages of children is pretty impressive. Outside there is a large fairground, lots of fairground games stands and plenty of small outdoor play areas scattered across the resort. My child loved the Little Tikes town which was a designated area full of little Tikes houses, slides and every vehicle they’ve offered (small cars, police cars, fire engines, dinosaur cars or Princess carriages mixed with smaller items such as trikes and push along lawnmowers or shopping trolleys). They have made a purpose built road circuit for the wheeled vehicles and I promise you you could spend hours and hours here and your child wouldn’t get bored. Make sure you’ve packed your snacks and water bottles!

A lot of the indoor entertainment is contained within the Skyline Pavillion and we enjoyed the small fairground rides, the toddler soft play, the Little Tikes area for little toddlers, the discover animals exhibition and of course the wonderful live entertainment on the Skyline stage. My only criticism would be of the toilet facilities - my husband informs me that changing a toddler in the male toilets was an acrobatic feat as there were not as many changing tables than I know there to be in the ladies facilities. In my opinion this should be equalised.

On our ‘Just for Tots’ week we have two headline shows in the form of Paddington Bear and Justin Fletcher live. Please do not underestimate the popularity of these shows and if you want a good view or at the very least a table and chairs then you MUST be prepared to queue and to queue early. We were lucky and arrived at Paddington 30 minutes before the show and we got a decent table. For Justin Fletcher we queued 90 minutes early and although we still got a decent table there were not a lot left by the time we got up there. If I find out the headline acts before our next booking I’d consider upgrading to the ‘B-line’ tickets to gain preferred and early entrance just to take off some of the pressure off a little bit of having your child having a decent view.

In all, we’ve had a fantastic holiday and will definitely be returning.
Read less",thing would note shoe allowed changing room dirt floor changing cubicle despite seeing several cleaner turnover high could not possibly keep,room dirt floor,"['room', 'dirt', 'floor']",Room
212,113,Bognor,1,"Waste of money A family group of 16 all had gold accommodation, in Atlantic bay. I dread to think what bronze is like.
When we got accommodation in one of the Sofas had a big rip in it. They did change it, but the mess underneath it was revolting, peanuts and general rubbish. Seems to the refurbishment is new carpet.
Swimming pool is a paddling pool, just a small adult area to actually swim in water past your knees.
The whole experience was a waste of money. You can buy pass passes for £15 to get into entertainment, but unless you want to sit in there for 2 hrs before anything starts then don’t bother.
Certainly won’t ever return.
DONT BE FOOLED BY THE PHOTOS EITHER
Read less",waste money family group gold accommodation atlantic,waste money family group,"['waste', 'money', 'family', 'group']",FamilyExp
213,114,Bognor,5,"Fantastic young family summer holiday - lots to do! As a family of 4 we travelled from Scotland to come here (especially for the weather) On arrival we were greeted by the receptionist in Shoreline Hotel. Heres a few points:
Room - amazing for kids! The decor is a fab sailor theme with lots of storage, kids bunk beds with disco lights, an interactive TV, main bedroom had kettle with teas/coffees/small fridge, large comfy bed, fresh towels, spotlessly clean, seating areas with sofa, table and large windows. Bathroom again large with bath and powerful shower, toiletries provided. Housekeeping regularly and made towels into different characters which kids loved. A plan of the weeks activities was in our room making planning easy. Also a kids play area of a ship wheel and activities on the wall. Safe room with secure doors and glass balcony. Iron and iron board and small safe included.
Hotel restaurant - we had the meal deal of breakfast and dinner and we are glad we did. We didnt expect much from a buffet dinner but the staff were brilliant at keeping it clean and organised. Food always hot, so much to choose from and a cook always came out to see me as i have a gluten free diet and they catered amazing for this, personally showing me around what I could eat each day. Kids corner, fresh hot food and ice cream factory always a hit.
Swimming pool - amazing! Kids had the best time here, plnety of changing rooms all catered for families, the pool area always clean and well staffed with lifeguards. The kids loved the wave machine, outdoor rapids and slides the best. Although the slides are for under 18's only.
Beach - the beach next to the resort you have to walk to the other end of the resort to get through the gate, the beach is stoney but kids enjoyed paddling.
Fairground - on site fair rides all free and unlimited is amazing, kids loved this and the fun mirror room. Staff very friendly and helpful.
Activities - alot of them you have to book on arrival and pay a small fee. My daughter did the adventure ropes for £12 and loved it, she went around about 3 times. My son did the free archery in the morning. Also book the character breakfast which is free for young kids as they had a ball dancing, using instruments and joining the parade.
Indoor - lots to do indoor from hundreds of arcades, more free unlimited rides, free softplay, puppet shows and animal handling. My kids loved seeing the snakes and getting to hold a chameleon.
Shows and meet and greets - we found it hard to do them all so we picked our favs. We watched Diversity, padding bear, Ben Hanlin, teletubbies etc which are all fantastic, you cannot fault these. They are some of the highlights from our holiday and things you wouldnt get anywhere else, especially included in your holiday price. My kids met a few characters and had their photo.
Evening entertainment - Again there is entertainment in many of their stages so plenty to choose from to suit you and your family. Some of our best was the wrestling, talent show, summer festival and the animal man.
Grounds - are kept nice and clean, plenty of restaurants, shops and cafes and really good prices. I thought it would be expensive but we got a sandwich from the shops for £1 at lunch. A few play parks and quiet seating spots. There is always someone about like a moving piano with a man singing, a man with wild falcons for kids to see and much more.

It is impossible to be bored here. We had the best time. The staff are brilliant with kids, food great quality, reasonable prices everywhere and beautiful hotel. Some of the best entertainment. Our kids cannot wait to go back!
Read less",also kid play area ship wheel activity wall,kid play area ship wheel activity wall,"['kid', 'area', 'ship', 'wheel', 'activity', 'wall']",Entertainment&Activities
217,114,Bognor,5,"Fantastic young family summer holiday - lots to do! As a family of 4 we travelled from Scotland to come here (especially for the weather) On arrival we were greeted by the receptionist in Shoreline Hotel. Heres a few points:
Room - amazing for kids! The decor is a fab sailor theme with lots of storage, kids bunk beds with disco lights, an interactive TV, main bedroom had kettle with teas/coffees/small fridge, large comfy bed, fresh towels, spotlessly clean, seating areas with sofa, table and large windows. Bathroom again large with bath and powerful shower, toiletries provided. Housekeeping regularly and made towels into different characters which kids loved. A plan of the weeks activities was in our room making planning easy. Also a kids play area of a ship wheel and activities on the wall. Safe room with secure doors and glass balcony. Iron and iron board and small safe included.
Hotel restaurant - we had the meal deal of breakfast and dinner and we are glad we did. We didnt expect much from a buffet dinner but the staff were brilliant at keeping it clean and organised. Food always hot, so much to choose from and a cook always came out to see me as i have a gluten free diet and they catered amazing for this, personally showing me around what I could eat each day. Kids corner, fresh hot food and ice cream factory always a hit.
Swimming pool - amazing! Kids had the best time here, plnety of changing rooms all catered for families, the pool area always clean and well staffed with lifeguards. The kids loved the wave machine, outdoor rapids and slides the best. Although the slides are for under 18's only.
Beach - the beach next to the resort you have to walk to the other end of the resort to get through the gate, the beach is stoney but kids enjoyed paddling.
Fairground - on site fair rides all free and unlimited is amazing, kids loved this and the fun mirror room. Staff very friendly and helpful.
Activities - alot of them you have to book on arrival and pay a small fee. My daughter did the adventure ropes for £12 and loved it, she went around about 3 times. My son did the free archery in the morning. Also book the character breakfast which is free for young kids as they had a ball dancing, using instruments and joining the parade.
Indoor - lots to do indoor from hundreds of arcades, more free unlimited rides, free softplay, puppet shows and animal handling. My kids loved seeing the snakes and getting to hold a chameleon.
Shows and meet and greets - we found it hard to do them all so we picked our favs. We watched Diversity, padding bear, Ben Hanlin, teletubbies etc which are all fantastic, you cannot fault these. They are some of the highlights from our holiday and things you wouldnt get anywhere else, especially included in your holiday price. My kids met a few characters and had their photo.
Evening entertainment - Again there is entertainment in many of their stages so plenty to choose from to suit you and your family. Some of our best was the wrestling, talent show, summer festival and the animal man.
Grounds - are kept nice and clean, plenty of restaurants, shops and cafes and really good prices. I thought it would be expensive but we got a sandwich from the shops for £1 at lunch. A few play parks and quiet seating spots. There is always someone about like a moving piano with a man singing, a man with wild falcons for kids to see and much more.

It is impossible to be bored here. We had the best time. The staff are brilliant with kids, food great quality, reasonable prices everywhere and beautiful hotel. Some of the best entertainment. Our kids cannot wait to go back!
Read less",daughter adventure rope loved went around time,daughter adventure rope,"['daughter', 'adventure', 'rope']",Entertainment&Activities
218,114,Bognor,5,"Fantastic young family summer holiday - lots to do! As a family of 4 we travelled from Scotland to come here (especially for the weather) On arrival we were greeted by the receptionist in Shoreline Hotel. Heres a few points:
Room - amazing for kids! The decor is a fab sailor theme with lots of storage, kids bunk beds with disco lights, an interactive TV, main bedroom had kettle with teas/coffees/small fridge, large comfy bed, fresh towels, spotlessly clean, seating areas with sofa, table and large windows. Bathroom again large with bath and powerful shower, toiletries provided. Housekeeping regularly and made towels into different characters which kids loved. A plan of the weeks activities was in our room making planning easy. Also a kids play area of a ship wheel and activities on the wall. Safe room with secure doors and glass balcony. Iron and iron board and small safe included.
Hotel restaurant - we had the meal deal of breakfast and dinner and we are glad we did. We didnt expect much from a buffet dinner but the staff were brilliant at keeping it clean and organised. Food always hot, so much to choose from and a cook always came out to see me as i have a gluten free diet and they catered amazing for this, personally showing me around what I could eat each day. Kids corner, fresh hot food and ice cream factory always a hit.
Swimming pool - amazing! Kids had the best time here, plnety of changing rooms all catered for families, the pool area always clean and well staffed with lifeguards. The kids loved the wave machine, outdoor rapids and slides the best. Although the slides are for under 18's only.
Beach - the beach next to the resort you have to walk to the other end of the resort to get through the gate, the beach is stoney but kids enjoyed paddling.
Fairground - on site fair rides all free and unlimited is amazing, kids loved this and the fun mirror room. Staff very friendly and helpful.
Activities - alot of them you have to book on arrival and pay a small fee. My daughter did the adventure ropes for £12 and loved it, she went around about 3 times. My son did the free archery in the morning. Also book the character breakfast which is free for young kids as they had a ball dancing, using instruments and joining the parade.
Indoor - lots to do indoor from hundreds of arcades, more free unlimited rides, free softplay, puppet shows and animal handling. My kids loved seeing the snakes and getting to hold a chameleon.
Shows and meet and greets - we found it hard to do them all so we picked our favs. We watched Diversity, padding bear, Ben Hanlin, teletubbies etc which are all fantastic, you cannot fault these. They are some of the highlights from our holiday and things you wouldnt get anywhere else, especially included in your holiday price. My kids met a few characters and had their photo.
Evening entertainment - Again there is entertainment in many of their stages so plenty to choose from to suit you and your family. Some of our best was the wrestling, talent show, summer festival and the animal man.
Grounds - are kept nice and clean, plenty of restaurants, shops and cafes and really good prices. I thought it would be expensive but we got a sandwich from the shops for £1 at lunch. A few play parks and quiet seating spots. There is always someone about like a moving piano with a man singing, a man with wild falcons for kids to see and much more.

It is impossible to be bored here. We had the best time. The staff are brilliant with kids, food great quality, reasonable prices everywhere and beautiful hotel. Some of the best entertainment. Our kids cannot wait to go back!
Read less",watched diversity padding bear ben hangin teletubbies fantastic not fault,ben hangin teletubbies,"['ben', 'hangin', 'teletubbies']",Entertainment&Activities
228,117,Bognor,3,"Day visitor/regular holidays We have been on 3 days visits and one 4 night stay since the new pool opened in April, we came on the day it opened, and it is such a disappointment.

I gave 3 stars for the fact that we love Butlin's Bognor but the pool I give 1 star.

The changing rooms are always filthy,and have already been vandalised and the toilets made me feel sick on out last visit. Used nappies left laying around, public hairs on the sinks for god knows how long, no soap in the soap dispensers, The smell of urine was so strong and the floor was soaked in either wee or water, we couldn't tell.

There are only 4 showers on the way in to the pool, so people are not showering before entering or after using the bathroom. So if there is urine on the toilet floors it is being walked through the changing rooms and in to the pool area.

I read a reply from Butlins to a review about the pool issues and it said ""this is not the norm"" Well I am sorry but since the new pool opened we have visited it several times and it has not improved. The steps to the slides/rapids/family raft are absolutely disgusting. The pool is rarely warm, the general cleanliness is not present. We have been during term time and holiday season. It makes no difference.

We no longer use the rapids because 1, they are about a foot deep, 2, they are not rapid, 3, they only get fast at the end and my son got hurt in the ribs as he got crushed and I heard about somebody else having had his ribs broken in the same bit. I can no longer use the slides with my Son because the ones he rides I am not allowed to (this is new as I have used them before) a sign has recently appeared to say no under 18's.
The splash pool is tiny and even at quieter times the lido pool is too busy to have a good swim.

The 4 jacuzzi areas are rubbish also. Far too cold to sit in and the bubbles are not strong at all. It just doesn't have the relaxing feel that it should.

Also only on entry on the opening day was there underfloor heating, and when we finished swimming that day it was off. Since then we have not felt it.

I have read so many bad reviews on many platforms regarding the new pool, so I know it's not just me being fussy. They are all of a similar complaint. These issues really do need addressing. The old pool may have been a bit aged, but it was certainly cleaner and a much more enjoyable experience than the new £40m pool. Which had so much hype before opening and yet no-one seems bothered by how many people are disgusted by it. If my son didn't love swimming so much we would stay well clear. But we go in hope of improvements, and always leave disappointed. 😔
Read less",splash pool tiny even quieter time lido pool busy good swim,quieter time lido pool,"['quieter', 'time', 'pool']",Leisure
230,118,Bognor,5,"Yet another fantastic holiday I've been going on holiday to Butlin's on and off since 1975. As you can imagine it's changed quite a bit over the years.

This time we had a 4 night stay in the Ocean hotel, top floor with a wonderful sea view. We opted for the hotel dining package. We got a very good price on our holiday.

Once on resort we hardly needed any spending money which was great as we were on a budget. We got a supermarket delivery to the front gate for our essential supplies (ie vodka and cola).

We couldn't fault a thing with our hotel room, although a lock on the bathroom door and room doors would have been nice. The housekeeping team were very thorough, and every day we came back to a towel animal, a lovely unique and fun touch.

We found the hotel restaurant a little too loud and busy for us so we asked to be moved to the Deck restaurant instead. The food was delicious and you can eat as much as you like. I'm sure we came home at least 7lbs heavier... There was a great range and plenty for meat eaters and vegetarians alike.

The evening entertainment was included in the price and very good. We went to the pantomime and that was very funny. We are 3 adults in our late 40s/50s and laughed almost non-stop.

We spent our days on the beach and our evenings on resort, aside from a trip to their new pool purely to check it out. It was lovely except somewhere to swim properly would be nice. It's definitely more for children than us adults.

All the staff were friendly and polite. They even have Butlin's Butlers at the Ocean hotel.

We had a wonderful holiday and have already booked for next year, next time we're going to try their seaside apartments.

If you're looking for a holiday by the sea I can't recommend Butlin's enough.
Read less",got supermarket delivery front gate essential supply ie vodka cola,ie vodka cola,"['ie', 'vodka', 'cola']",RoomFac
234,120,Bognor,2,"Disappointing I'm writing this review on the day of check out (not that we know where as the reception near us is always closed)
We had a silver room in dolphin boulevard which did not match the pictures. We didn't even get a double bed. Upon our arrival  (after waiting 3 hours for the room to be ""cleaned"") we noticed the beds had been made but that's it. An empty box of alcohol had been left under one of the beds the teaspoon was disgustingly filthy. I had to clean the bedside table and the storage unit for clothes so our stuff wouldn't get dirty and ruined, not what you expect to do on holiday. The bathroom was very small and the toilet seat not stable so we've both fallen off of it. Both of us have bruises from catching ourselves on the sink aswell. TV constantly glitches and loses sound. Walls very thin so could here next door snore. There was a light placed right outside our door so due to glass panels that light lit up the room the whole night... causing a lack of sleep  (again not what you pay to go on holiday for) nobody is policing the smoking rules so our neighbours decided to stand outside our room to smoke. My main complaint with the room is it made us feel ill. If we were in the room we got headaches and felt sick but when we were anywhere else we were fine. Not sure if there's some kind of leak in here. Also the carpet has some kind of bugs in it as I kept being bitten and if you sat on floor I unpack or tie shoes you'd become all itchy instantly. Due to this we had considered leaving early but felt to unwell to do so.

Splash is nice if you've got kids but for two adults it's a bit pointless can't do widths or lengths as always to many people. There's a toddler and parent hour so maybe a adult only hour or a aqua aerobics class would be good. The changing rooms are very slippy and dirty couldn't feel the underfloor heating either.

There was an incident Tuesday night near our apartment. So the next day we all got a knock at the door and handed a letter to explain. Massive waste of paper but nice of them to try make us feel safe.

The rest of the resort was nice lots for kids to do (not for two adults though). Lots of food places but all seem expensive for what you get would be cheaper to eat off resort. Supermarket is handy but again expensive they add money to the essentials. Didn't really interact with too many staff buy those we did seemed friendly.

All said we didn't enjoy it feel we wasted our money and will now have to have doctors checks to try figure out what was wrong with our room.
We wouldn't come again until we have children and would not stay in the silver room again ever.
Read less",also carpet kind bug kept bitten sat floor unpack tie shoe would become itchy instantly,carpet kind bug,"['carpet', 'kind', 'bug']",Service&Staff
237,122,Bognor,4,"90s weekend I’ve never been to a Butlins (or any kind of holiday camp)before but was pleasantly surprised. It was really good value for money considering that most activities are included. We paid for a spa package which was very relaxing but they could do with more than two showers in the changing rooms as not nearly enough for the number of people using the spa.
We stayed in a gold apartment which not huge but was adequate for a weekend. The plus side was a balcony overlooking the sea which I think we were lucky to have as not all apartments face the sea.
The drinks in the venue were disappointing. No real ale and the gins did not seem like normal strength. I’ve read many reports that drinks are watered down which would surprise me as I wouldn’t have thought such a big company could get away with this but they did taste very weak so my recommendation would be to buy bottled drinks. Also the drinks are expensive.
The musical entertainment was very good and I would certainly have a more opened mind to going to another adult music weekend.
Read less",weekend I never kind holiday camp pleasantly surprised,kind holiday camp,"['kind', 'holiday', 'camp']",Entertainment&Activities
240,126,Bognor,2,"Discriminating behaviour towards my little girl by a lady staff member named HAYLEIGH at Butlins Bognor Regis Resort On our 2nd night at the resort, we attended a family event at the Reds venue where we had a very nasty experience with a red coat staff member named HAYLEIGH. She singled out my 5 yr old girl and stopped ONLY her from taking a picture with the Mr. Potato head character.
When I saw my little girl close to tears I approached HAYLEIGH and requested politely to grant her just one picture as she was the last child in line. I would have understand if there were more children behind her and all asked to leave but to ask just the last child out??? I was told rudely by her that they had already done the countdown to end the photo shoot and that ‘ I should have used my ears to listen better’ !!!! She also said that instead of dancing with my little son on the dance floor,I should have ‘paid more attention to the queue’.
I was extremely shocked at her condemning manner and reminded her that after the countdown five other white families had stood in the queue in front of my girl and had been granted a picture and why was she, the only one to be left out? Also, what does me dancing with my son have anything to do with my daughter who was waiting her turn patiently in the queue????
What is worse is that my daughter had only joined the queue (after the countdown) once I checked with the male photographer there. He later denied any responsibility saying that he was just there to take pictures! When I reminded HAYLEIGH that such an attitude towards a guest and a child was not acceptable, she very arrogantly pointed to her name tag and asked me to report to whoever I liked, it made no difference to her! She spent about 2-3 mins arguing with me and the Mr Potato head character remained in the background but she couldn’t use a minute of that time to make a little girl happy????

We have been to many other family resorts and have never experienced anything like this. In fact, most other places go out of their way to make the little ones feel special. We were initially very impressed by the Butlins resort, the ocean hotel room, the pool zone and entertainment shows where we did see friendly and attentive staff like the hotel receptionist Kirstie and most staff at the pavilion arcade. I am surprised that someone like this lady Hayleigh works in a resort of this stature as she definitely has a problem with brown/dark skin and clearly does not know how to communicate with guests.
I strongly condemn such obnoxious and discriminating behaviour in a place that claims to be dedicated to families and fun. As parents we did not spend our hard earned money, for our daughter to feel inadequate and reduced to tears just before her birthday! (she didn’t want to attend most character events at the resort after that). We checked out of the resort a day earlier than needed and must say that we have been extremely disappointed by Butlins on this occasion.
Read less",discriminating behaviour towards little girl lady staff member named kayleigh resort night resort attended family event red venue nasty experience red coat staff member named kayleigh,kayleigh resort night resort,"['resort', 'night', 'resort']",Entertainment&Activities
241,126,Bognor,2,"Discriminating behaviour towards my little girl by a lady staff member named HAYLEIGH at Butlins Bognor Regis Resort On our 2nd night at the resort, we attended a family event at the Reds venue where we had a very nasty experience with a red coat staff member named HAYLEIGH. She singled out my 5 yr old girl and stopped ONLY her from taking a picture with the Mr. Potato head character.
When I saw my little girl close to tears I approached HAYLEIGH and requested politely to grant her just one picture as she was the last child in line. I would have understand if there were more children behind her and all asked to leave but to ask just the last child out??? I was told rudely by her that they had already done the countdown to end the photo shoot and that ‘ I should have used my ears to listen better’ !!!! She also said that instead of dancing with my little son on the dance floor,I should have ‘paid more attention to the queue’.
I was extremely shocked at her condemning manner and reminded her that after the countdown five other white families had stood in the queue in front of my girl and had been granted a picture and why was she, the only one to be left out? Also, what does me dancing with my son have anything to do with my daughter who was waiting her turn patiently in the queue????
What is worse is that my daughter had only joined the queue (after the countdown) once I checked with the male photographer there. He later denied any responsibility saying that he was just there to take pictures! When I reminded HAYLEIGH that such an attitude towards a guest and a child was not acceptable, she very arrogantly pointed to her name tag and asked me to report to whoever I liked, it made no difference to her! She spent about 2-3 mins arguing with me and the Mr Potato head character remained in the background but she couldn’t use a minute of that time to make a little girl happy????

We have been to many other family resorts and have never experienced anything like this. In fact, most other places go out of their way to make the little ones feel special. We were initially very impressed by the Butlins resort, the ocean hotel room, the pool zone and entertainment shows where we did see friendly and attentive staff like the hotel receptionist Kirstie and most staff at the pavilion arcade. I am surprised that someone like this lady Hayleigh works in a resort of this stature as she definitely has a problem with brown/dark skin and clearly does not know how to communicate with guests.
I strongly condemn such obnoxious and discriminating behaviour in a place that claims to be dedicated to families and fun. As parents we did not spend our hard earned money, for our daughter to feel inadequate and reduced to tears just before her birthday! (she didn’t want to attend most character events at the resort after that). We checked out of the resort a day earlier than needed and must say that we have been extremely disappointed by Butlins on this occasion.
Read less",spent min arguing my potato head character remained background could not use minute make little girl happy,potato head character,"['potato', 'head', 'character']",Entertainment&Activities
243,127,Bognor,5,"Butlins has changed and modernised yet still retains its original unique character - FUN! This is our second visit to Butlins Bognor

If you haven’t been to Butlins for some time then your in for a surprise , they have modernised massively , yet still retain the unique original character of what Butlins represents that is simply - fun and happiness! Have a laugh! . The majority of people and families certainly show that. The staff also work tirelessly yet all are happy , friendly and helpful this is what makes Butlins , it’s actually surprising to see so hard work and dedication yet retaining a constant happy persona throughout.

We stayed at the Wave hotel its excellent for young families , they have three hotels in total and the original chalets. We’ve stayed at a variety of hotels over time 4/5 star hotels yet our children aged 8 and 10 have never been more impressed by a room as this one , individual TV’s and LED mood lighting the are sold already and very happy. The especially like the games room in the lobby that provides a variety of PS4/Xbox/Ipads available free for kids to play, there's also a nice bar area in the reception that servers drinks plus decent coffee and cakes.

The rooms are very good , comfy and compact at the same time , they have a fridge , tea/coffee making Machine, TV etc.

There’s plenty to do just bear in mind the majority of activities including the fairground open at 11am with the exception of the new Wave pool facility , this opens at 9am and is ideally best visited early after breakfast to avoid queues or later in the afternoon. The Wave pool facility is superb top notch but can get crowded at times, particularly on a Saturday when more day visitors are allowed so it’s best to use another day is possible.

The majority of specialist activities are at additional cost , this includes bungee trampolines , crazy golf, wall climbing, segways , zip wires , mitre football training (£12 PP) , go karts, bowling and American pool. If you have. Premium option you can exchange your £5 vouchers for you own bespoke choice , to offset the cost. The activity vouchers are available from guest services just in front of the Go Karts , this opens at 10am , get in at 10am to avoid queues. They do packages from £12 per person to £20 for up to five activities which isn’t bad , the activities are age and height restricted so bear that in mind.

The fairground , indoor play centre and shows to make a few are included in your stay but vary depending on you booking option.

The buffer restaurant is good for breakfast and dinner , it has all the classic foods and keeps the kids happy. Butlins also have a variety of restaurants on side from traditional pub, fish and chips (traditionally fried and cooked like a normal fish and chip shop !) Pappa Johns pizza, the Beachcomber , Burger King to name a few , these are all good in fact very good as good as most local chain pubs and restaurants.

Pappa Johns Pizza was superb nice fresh decent Pizza's and the Beacoomber Resturant was also excellent (Butlins Steak and Ale pie !)

The entertainment is good and varied , there’s plenty to do throughout the whole site, there is also a pebble beach 5 mins walk through the gated rear entrance.

Overall we had an excellent happy fun time at Butlins, we will be going back again.

Definitely Download the free Butlins app before you go or when you arrive to see what’s on at what time , including maps of the resort, live show times and all the dining menus plus more.
Read less",majority people family certainly show,majority people family,"['majority', 'people', 'family']",FamilyExp
