,Name,Category,Town,Type,Contributions,Title,Review,Rating,Date,LocCode,Cuisine,Score
13,The Town House,Food,Arundel, Restaurant,81,Upsetting experience.,"When we arrived at the Town House we felt it did not appear as bright and cheerfyul as it does in the photographs. We also found the tables too close together. We were allocated a table at the bar end, in front of a passageway with a view of the unisex toilet door.
My pate-de-foie terrine turned out to be just a small portion of pate which was okay but nothing special. My husband's scallops starter was nicely cooked. My main course of half a lobster was also nicely cooked. Sadly my husband's surf and turf was overcooked and cold. The waiter returned it to the kitchen and the same meal came back re-heated and even more overcooked. The glass of champagne was nice as was the half bottle of Chablis. The waiter was efficient and friendly.
We had made this booking using a voucher from 'Gourmet Vouchers. Our son had given this to us as a present for a special occasion. When we came to pay the bill - which had come to £32 more than the £100 voucher - the problems started. The restaurant had received only £50 from Gourmet Vouchers instead of the £100. This was entirely the fault of Gourmet Vouchers who telephoned my husband the following morning to apologise and to pay the restaurant the balance. We gave the restaurant the receipt for the payment to Gourmet Vouchers expecting them to deal with the problem. The manager told us we would have to deal with it and wanted us to pay another £50 then claim this back from Gournet Vouchers. As they had offered us no proof that they had received only £50, but we had provided them with proof that the voucher was for £100 we refused (leaving our contact details) but paid the rest of the bill in cash. Unfortunately this meant we had no cash to give the waiter the gratuity he deserved. The manager loudly argued that they did not have to take Gourmet Vouchers at all - they do their own vouchers - and behaved as though they had done us a big favour by taking it when they accepted our booking. As we left nobody opened the door for us nor wished us a 'good evening'.
The problems ruined our evening......we could forgive the 'not quite up to scratch' meal but as it was a special occasion for us we would have liked to leave the restaurant with a memory of a happy evening. Instead we left disappointed, embarrassed and rather upset.
We totally accept that the problems were the fault of Gourmet Vouchers but feel the resaturant could have handled the situation far better than they did.",2,3.0,2.0,Other,1
14,Oyster Catcher,Food,Littlehampton, Pub/Bar,16,Lovely Atmosphere,Lovely family meal enjoyed at this pleasant restaurant. We varied in age from 4 years to 76 and each one of us thoroughly enjoyed our meals.,5,1.0,1.0,British,0
15,Out of Bounds,Attractions,Littlehampton,Amusements/Fun,6,Not subtle about closing down!,"Took our eldest to a birthday party so decided to take the younger one to have a play too. Soft play is excellent and both boys enjoy it.

I ordered food for our youngest and myself. At 5.30 just as I had collected our food the soft play closed. The staff then started to clean up the seating area by the soft play where we were sat. They were putting the chairs up on the tables around us, and not quietly either.

I recommend ordering a kids burger instead of an adult one as you get more for your money on a kids meal.
Read less",2,3.0,1.0,0,1
16,Flying Fortress,Attractions,Arundel,Amusements/Fun,13,Large Unruly kids in under 4’s only section,"Arrived for opening time with my 22 month old and all was great. Soon after arrival it got busy.

The under 2 and under 4 areas suddenly got busy with either giant 4 year old’s or kids and parents that cannot read the signs as they were running riot with no parents to supervise in these areas.

My daughter was getting pushed all over the place. Staff we uninterested when I complained about it. Not a great experience this time
Read less",1,4.0,2.0,0,1
17,Waterside Café,Food,Arundel, Café,1,Wanted to look at 6 ducklings.,"Walking through cafe to riverside and not having been there before, we were approached by a female member of staff who told us it was private land and unless we sat down to order, we should leave. My son explained we were just showing our 4 year old grandson the ducklings. She said we could see them from the bridge and repeated that we should leave. What a mean, rude and unreasonable attitude on a lovely sunny day. Having just returned from Germany and France, where people could not be more helpful and kind particularly to young children, staff training here is clearly sadly lacking. We certainly would not give that establishment our custom in future.",1,2.0,0.0,British,1
18,Ye Olde Fish and Chippe Shoppe,Food,Bognor, Fast Food/Takeaway,255,"Poor Value, Small Portions, Won't Return! ","I have had a takeaway from here before and said never again, however American Express were doing a 'Shop Small' promotion for here, so thought let's give it one more go. Guess what they are having trouble taking American Express cards have I got cash, funny that! We had 2 Regular Cod and compared to the Felpham Chippy they were more like small. Also they put everything into cardboard boxes so a five minute journey home they have sweated and gone soggy, Felpham Chippy use paper so this doesn't happen. Also at £12.80 for 2 regular cod and 1 large chips, a lot more expensive than other nearby establishments! Will definitely not come back!",1,4.0,1.0,Seafood,1
19,Premier Inn Littlehampton,Accommodation,Littlehampton,Hotel,0,New Years eve,"Short staffed long wait for food and reception main door to accommodation not secure breakfast cooked to order no breakfast the same undercooked or overlooked unfortunately lack of staff due to sickness but disappointed
Read less",2,1.0,0.0,0,1
20,YHA,Accommodation,Littlehampton,AccomOther,1,Great little stop,YHA Littlehampton has everything we needed and was in a great location. Easy walk to everything and right by the river. Family room was basic but clean and tidy. The host was very organised and helpful.,5,2.0,0.0,0,0
21,The Diner,Food,Bognor, Steakhouse/Diner,12,Do yourselves a favour and go to the fish and chip shop opposite!,dined there earlier this week. incredible long wait. food eventually arrived... cold and wrong order. when enquired how much longer we had to wait we were told there was already a 45 minute delay but we should have been told that upon arrival. service was poor and food even worse.. won't be rushing back ....,1,3.0,2.0,American,1
22,Butlins,Accommodation,Bognor,Hotel,27,BUTLINS HALLOWEEN AND FIREWORKS 3 Day break,"We stayed at the Ocean Hotel this time, last time we had an silver apartment.The hotel we thought would be better for us with 3 small children.Check in 10 mins wait and room ready at 1.30pm, so very prompt. Only 2 lifts working for a 5 floor hotel, so very busy with people getting into there rooms and one time we had to wait half hour for a lift so that was one of the worst parts of this hotel .Hotel very clean and our room- adequate space for 2 adults and 3 children..but was it HOT , so hot in October we had to have our balcony door open every day to cool down, air con did not seem to work either. we had to chase up 3 times for a paid travel cot and then eventually at 5,30pm it arrived just in time for bed time!, so not impressed with that service when it was pre booked months ago .The double bed mattress was absolutely discusting, covered in large stains, thanks goodness a sheet covered it as was horrible to see. and the beds very hard, not the best sleep...The bathroom had plenty of towels, only 2 toilet rolls and NO handwash(remember to bring some) the room was serviced daily except forgotten one day by 5pm and we had to chase up and then ask for more milk , and loo rolls...Hotel restaurant we also booked before and the food choices were very good..breakfast and eve meal. plenty to choose from and cater for children needs too. with bibs and cutlery we always nearly just walked in every time..and staff were happy to help us if we asked for anything. Park so much to do..and entertainment but 3 days was ample to do everything there..the children loved the characters ,puppet shows and main stage shows..and rides in and outside . Not enough for under 1 year old to do, so bit of a struggle as the baby part has been shut down in the sky pavilion which was annoying as would have been ideal.Firework display was great and Halloween eves too. would we go back- yes next year maybe to same time in October, and same hotel, yes as long as lifts sorted out. as a further one broken the day we left! overall we had a nice fun packed time and the kids were all happy to be there and ocean hotel is so much better than apartments in our opinion and was lovely not having to think of meals every day, worth paying the extra for them
Read less",4,4.0,2.0,0,0
23,Cardanom Bay,Food,Bognor, Restaurant,4,Evening meal with friends,"The meal we had recently at Cardamom Bay Bognor was not very good.
We came in at 7pm and had our poppadum’s, then our starter. We were then forgotten about and did not received our main meal until 8.40, this was only following a reminder from ourselves.
Our food had not been prepared and were offered a free drink. When the mains did come out at 8.40 they were rushed and were not to a good standard, two of the sauces were horrible, and the lamb was tough and not edible. We complained at the time and asked for the chief to try them, but we did not get any feedback from this.

I don’t normally leave feedback apart from when the food and restaurant is exceptionally good, but on this occasion due to the low standard and disappointing meal I feel that this needs doing, not sure if this is your normal standard but we were all very disappointed. We did pay the full amount for the meal and the service charge but were not happy with the quality of the food and the service.
An email was sent to the restaurant but was not answered.",1,4.0,2.0,Indian,1
24,Sen,Food,Bognor, Restaurant,11,Always a lovely experience ! ,"Why has it taken me so long to write a review of this local friendly restaurant ?
We came today to celebrate a friends birthday , a cheeky Friday
 ‘mums out at lunch !’ So yes not the busiest time to visit , yet we got what we were after ...
a relaxed atmosphere , not feeling rushed or hurried - the freshest of food and able to keep ordering to feed our ‘grazing appetites !’
What we loved was the time spent with who is known as ‘Happy’ the restaurant owner - chatting to us about all things local, we even met the local ‘potato supplier ! ‘
Thank you for a lovely afternoon , quality Prosecco, beautiful food and as always a great dining experience .
The ‘Friday girls ‘
Ps looking forward to getting on that trip to Spain with Prosecco suppliers A&A !",5,1.0,1.0,Other,0
25,Beachcomber Inn,Food,Bognor, Café,2,Holiday ,Not that good had better at wetherspoons and that's bad still if you are hungry go home and make a sandwich,2,2.0,0.0,British,1
26,Black Horse,Food,Arundel, Pub/Bar,4,Mid week lunch,"Staff pleasant and efficient but the pub lacked atmosphere.
The menu was somewhat limited in choice.
The beef burger was dry and lacked flavour.",2,4.0,0.0,British,1
27,Travelodge Fontwell,Accommodation,Arundel,Hotel,3,Couldn’t Fault It,"A true credit to Travelodge. The staff are amazing, Dulce, Seth and Debby were amazing!!! They made me feel so welcome......it is in a convenient location right next to the racecourse and not far from Goodwood.
Read less",5,4.0,2.0,0,0
28,Harbour Park,Attractions,Littlehampton,Amusements/Fun,470,Great place for children.,"The outdoor rides are great for children aged about 4 - 12. £20 for an unlimited ride wristband is excellent value (though the whole wristband/tokens/tickets info is a bit confusing), and an adult can accompany small children on certain rides for free, which is a refreshing change.Our 6 and 10 year olds went on rides over and over again and had a wonderful time. Nice little cafe, reasonably priced.
It would be nice to have a couple of simple little rides for toddlers in the same area or a little play area for them. Didn't go to the indoor activities, but the soft play looked good.
Large car park adjacent, reasonably priced for a sea front position.
Read less",4,3.0,2.0,0,0
29,Ocean Hotel & Spa,Accommodation,Bognor,Hotel,102,Excellent hotel,"Stayed here for a 4 day break with our children. The room was a good size, the children had their own “room within the room” so, we had a little privacy. Its close to all the activities and the pool which is a bonus. I would take your own pillows as the ones provided were quiet thin. The restaurant & bar on site are very good. The terrace is very present on a warm day. Would highly recommend.",4,2.0,2.0,0,0
30,Fino,Food,Bognor, Restaurant,4,Disappointing ,"We came here for my partners birthday meal, and when we arrived it was lovely the young lady who served us at the bar was lovely and the young bar man was fantastic, unfortunately that was the the best bit of are evening, we ordered a bottle of wine before our meal, the wine we ordered was OFF, and one of our drinks had something weird floating in it, which we showed the waitress, we asked if we could replace the wine and the waitress told us we could only pick from a certain selection, we were offered no compensation for this and to be honest it made us all fell quite sick, the prawn cocktail starter was properly the worse thing I have ever tasted, watery crayfish with absolutely no taste, we all had the same starter and was hugely disappointed, the mains all required seasoning, and we decided to not even bother with dessert, the bill was over £200 for the 4 of us, very unsatisfactory!",2,3.0,2.0,Italian/Pizza,1
31,Fish & Chips,Food,Bognor, Fast Food/Takeaway,1,STEER CLEAR,"Wow . Table dirty , dirty pots everywhere. Waited ages for service. Child portion served for an adult. Dry beans . Asked for chips and peas and got beans . Lumpy gravy . Asked for sausage and got a torn one in half . Appalling needs shutting down !",1,1.0,2.0,Seafood,1
32,Robin Hood,Food,Bognor, Pub/Bar,133,Cozy .,"We stayed at the attached Premier Inn at the weekend. When we arrived on the Saturday after booking in we decided to have lunch before going to a wedding. Lunch was fine fast served only problems were lack of veggie options or lack of stock to provide meals.
Next morning, Breakfast items a bit spaced out around area , Were happy to provide veggie sausages for the wife.",5,2.0,2.0,British,0
33,Littlehampton Fish and Chips,Food,Littlehampton, Fast Food/Takeaway,10,Disappointing,"Come here regularly but today the battered sausage was not fresh and crispy, dry and had clearly been sat in the heat cabinet for a While.",2,1.0,2.0,Seafood,1
34,Bailiffscourt Spa,Attractions,Littlehampton,Spas/Leisure Centres,42,Expected a lot more ,"We had a family trip this weekend to celebrate Father’s Day with our 8 month old. Overall our expectations where not met. The hotel is beautiful, as to the grounds and surrounding area, the rest below the cover is poor.
The room was a nice size, nice decor and comfy bed. But was dark, very dirty, bathroom taps fell off in my hand, was hot and when opening the window the smell from the kitchens came in!
The service was mixed, every time we sat for a drink/food we had to ask for a menu/to be served and then chase them. Shouldn’t be a surprise we wanted to eat and drink, also bad for their business as they are losing out on revenue by not serving and making people wait.
The eve meal was disappointing, poor produce, small portions and very bland. The chef should not be Proud of that. My breakfast was lame, veggie breakfast with no sausage = one shrivelled tomato, one burn mushroom and a tiny portion of beans, looked pathetic on the plate!
The spa is run down, nice on the surface but tired and so so busy. Couldn’t even get a seat to feed our 8 month baby, loads of towels left and no one overseeing removing them.
Stayed in the chain a number of times, this is is by far the worse and only gets away with due to the location/building.
Save your money and go elsewhere
Read less",2,2.0,2.0,0,1
35,"The Windmill, Harvester",Food,Littlehampton, Pub/Bar,56,Disappointing Customer Service,"So disappointing, in fact, that I can't even comment on the food! We visited without a booking at midday during school holidays and were told there were no tables without a booking. Fair enough. But we were then told we could book a table for 1pm. So we returned at 1pm, with four hungry children, and were told there was an hour's wait for food. Had we been told that at midday then we would have just eaten elsewhere sooner and not put off lunch to wait for our booking. Absolutely ridiculous.",2,3.0,2.0,British,1
36,Black Rabbit,Food,Arundel, Pub/Bar,1,Used To Be Brilliant,"I took my family to the Black Rabbit today for Sunday dinner. Booked a table for 4:15 (late lunch/early dinner). Not overly busy this afternoon. The girl serving us looked disinterested from the start.

The food came out quickly. My wife’s roast beef was dry and tough, my lamb felt like it had come out of the microwave. I think you can tell a lot by the roast potatoes on a roast dinner and once again they where dried up and tough!

At no point during the meal did anyone come and check on us or offer more drinks. We had a desert board plonked on the table after waiting 15 minutes for our plates to be cleared away.

The black rabbit was a lovely place and holds some good memories for my wife and I, but I won’t be recommending it again, and I don’t think I’ll be visiting for a long while.

If you’re looking for a cracking roast, try The Corner House in Worthing. It’s just been promoted to top of my list of places to go for a roast. Got to say for post meal satisfaction the Toby Carvery beats the black Rabbit on today’s performance.",2,2.0,0.0,British,1
37,Ristorante Al Mare,Food,Littlehampton, Restaurant,3,Lady,"Went to their Sardinian evening with friends and had a fabulous feast and time. For starters we had a mixed antipasti platter, to follow smoked fish, to die for, and a fresh seafood salad. Followed by a classic Sardinian pasta dish of Mallardusu with Bortagga. Excuse spelling!! If that wasnt enough we were then served the most scrumptiuos meat platter of pork, lamb and Sardinian fennel sausages with roast aubergine and fennel!! To finish Sardinian biscotti soaked in Mirto liquer!! It was a feast and accompanied by a white and red Sardinian wine. It was a great evening restaurant full and buzzing highly recommend. All of the food is cooked fresh. For a local italian it is absolutely delicious and great place to enjoy an intimate lunch or dinner with friends and family. Great value fixed price for the Sardinian night.",5,1.0,2.0,Italian/Pizza,0
38,The Gravy Boat,Food,Littlehampton, Restaurant,248,Home ^__^ it's where our heart is. ,"Came here for my birthday treat, we were usually in here once a week though as saving for our wedding we've cut back a bit. We walked in and had smiley booming hellos from the staff who know us now by name, and always remember our drinks orders...even to the gin we tried the last time we were in. Fantastic memories they have and it really does go a long way!

Thai mussels as always to start Absolutely stunning flavour, Thai is my favourite to cook and I will never order it anywhere else except here. Stunning!

Added extra as was birthday treat, an addition from the new menu some stunning padron peppers. One of my Absolute favourites. Delicious!!

For main I had the new (improved) trio of fish. The shell on prawns took me back to Greece yum yum. I will have this again and again. This place knows how to cook seafood to a T.

We were so full to order dessert however they kindly brought out some birthday white chocolate eclairs for my birthday on the house. To die for.

I adore this place it's my favourite. Will be having my hen do meal in here Feb / march time I can't wait for my lovely ladies to dine here :-)

Thank for fabulous food and a great service can't wait to come home again
",5,4.0,1.0,Other,0
39,Arundel Castle,Attractions,Arundel,Historical/Culture,48,Amazing Castle and Grounds,"Me and Mrs Maverick Tendency went to Arundel for our honeymoon many, many years ago and, as we went in February, the castle was shut. We have been back to Arundel several times since and everytime the castle has been closed so this time we made sure it was going to be open! Anyhoo it certainly did not disappoint! The gardens are wonderful and the castle very grand. Me and Mrs M.T enjoyed it all very much. Lots of history and the guides are knowledgeable - did you know, for example, that the current Duke of Norfolk is responsible for state occasions? Not cheap but well worth the money. 5 Maverick T stars for this one.

Review by Maverick Tendency
Read less",5,3.0,2.0,0,0
40,Premier Inn Bognor,Accommodation,Bognor,Hotel,14,Shame,"Such a shame for a low rating having stayed at lots of Premier Inns with no problems. Beds are super comfy, staff of Premier Inn lovely and extremely helpful.
It’s a shame some noisy unruly guests ruined our last night and some rude staff at the adjoining pub/restaurant ruined our overall experience.
Read less",2,3.0,1.0,0,1
41,Spotted Cow,Food,Littlehampton, Pub/Bar,3,Don’t have the Liver and don’t expect much of a response if you complain,"Just visited the Spotted Cow following recent change of ownership. We’ve been going here for many years but were very disappointed by today’s meal. In general terms service was slow, plates were cold, and food wasn’t that great (potatoes on roast lunch had a pre-cooked feel rather than fresh). However our main issue was for the 2 of us who had liver and bacon, which was threaded with tubes; this made a large amount of it inedible. Our feedback secured us a 10% reduction off the cost of these dishes, which seemed to us a very inappropriate response. Having waited over 15 minutes for the bill whilst they debated our feedback, we couldn’t be bothered to take it any further. So having been a regular customer for many years, we won’t be going back unless we hear of a fairly miraculous turn around! (as an aside, the young waitress who served us was very nice).",1,1.0,0.0,British,1
42,Oyster Catcher,Food,Littlehampton, Pub/Bar,1,Lunch,"Food was very poor, and not as advertised. Our burgers came with no onion rings, a seed topped bun instead of a brioche bun, had chunky chips rather than skin on fries and the lettuce which was also not advertised was under the burger so it was soggy and warm. Would define not recommend eating here. Also the caesar salad said it had lardons in it, but it was clearly streaky bacon sliced. Avoid if possible. Waitresses were also rude too.",1,3.0,2.0,British,1
43,Premier Inn Littlehampton,Accommodation,Littlehampton,Hotel,1,Wedding to attend,"The Premier inn is close to a busy road, with Annexe closer to it. If you want a less noisy stay, request to stay in main block. Unfortunately, our room in the older block needed decorating and a new carpet
Read less",4,2.0,0.0,0,0
44,Arundel Castle,Attractions,Arundel,Historical/Culture,94,"Fascinating place, lovely guides","Visited with the family, opted for the ticket which gave us access to the grounds, gardens, rooms and bedrooms. Well worth it, although did notice tickets can be upgraded after purchase.

Gardens were lovely, the views from the keep were outstanding and the guides were great. Happy to answer lots of questions from our youngest.

Couple of things to call out for info:
There are some very steep steps,
pushchairs/buggies are not allowed in the castle rooms
Castle rooms don’t open till 12
Read less",5,3.0,2.0,0,0
45,The Bear Inn,Food,Bognor, Pub/Bar,5,Lovely place but lack of service for the restaurant,"We waited over an hour for our food to arrive, which normally would be fine as we were a big party- however we booked prior to coming and most of it was burgers and there was two other tables in the restaurant. We also had to wait a long time to get served, and never got checked on if he wanted more drinks.
 We asked to pay on 4 separate cards and the remainder in cash (we were a party of 12) we were told they didn't have the technology to allow this. We weren't told on arrival and none of the party could have paid the final payment amount on their card. We asked the waitress how she could accommodate this and she was very aggressive and said it was up to us to sort it, even interrupting our friend and upsetting her afterwards.
 Very disappointed especially as friends traveled down for this dinner for a special occasion. However the pub side looks great and we have never had any trouble with service on that side, normally served by a smiley gentleman.",2,2.0,3.0,British,1
46,St Mary's Gate,Food,Arundel, Pub/Bar,1,very disappointed,"came here for a meal in the evening, lots of dogs waiting for us to give them food, while I like dogs, should not be allowed to keep worrying people that are eating.
this place used to be more up market. shall not be returning.",2,4.0,0.0,British,1
47,The Burger Shop,Food,Arundel, Restaurant,3,Amazing food and service,"Visited with my friend and loved the American vibe of the restaurant, the food was amazing and staff where very friendly, will definitely be back soon!",5,1.0,0.0,Other,0
48,The Diner,Food,Bognor, Steakhouse/Diner,30,Lost a bit of spark but still best food option,"We visit Butlins usually atleast once a year, mostly for just a day. We came here when it was new and couldn’t believe how nice it was, fresh and bright decor, lots of memorabilia from the 50’s and 60’s. Food has always been great for the 3 visits we have had and service whilst a little on the slow side this time despite helpful and friendly service from kenny wasn’t the main issue. Our 2 previous visits were brightened up by the girls donned in 50’s outfits singing and dancing around the restaurant, something that made it unique, but for some reason was dropped around a year ago apparently, we can’t find out why?",4,1.0,2.0,American,0
49,Fish & Chips,Food,Bognor, Fast Food/Takeaway,2,Thoroughly disappointed,Was exited to have seaside fish and chips but was very disappointed by the lack of quality. The chips were overpriced and tasted like they were from a tacky take-away. Batter was soggy on the fish. Could have got better quality fish & chips in land. In my opinion the worst fish & chips I’ve ever had and I would certainly not recommend. Ruined my lunch on the beach.,1,2.0,0.0,Seafood,1
50,Butlins,Accommodation,Bognor,Hotel,25,February half term fabulous fun!,"Back again (how we can stay away eh?)!

We stayed in the Ocean Hotel, it looking as clean as it was when it first opened. Freddie at Reception treated us as though we were the only guests he'd met all day - so polite, jolly, taking such great interest in my boys - what a great start!
In fact, every member of staff we spoke to went well out of their way to help us / make us feel at ease, as per our requests. And of course, the legend known as Ritchie....! Thanks Ritchie for the advice you gave my boys, and not just about football either.

With the new dining system we were able to eat in a variety of locations, for both breakfast and dinner (we were too full to eat lunch!) - this gave our stay such variation, no day was in no way the same. And as for the choice of food - I think The Deck came out top favourite, but that along with the Ocean Hotel restaurant and Papa Johns too. Another thing I find that people overlook is the 'background' music playing whilst we ate - it was such an eclectic mix, tunes for everyone, so giving the great age range of our group songs to sing along too whilst we ate, so adding to our fun (I wasn't the worst singer btw!).

My eldest son (genuinely!) beat me for the first time ever on the go-karts - at least I had the ice cream from the 'pink cows shop' (so funny) brought for me this year by the chuffed victor!

We must return to experience the much-anticipated new leisure pool - that's going to enhance our stay so much more.

Thank you Butlins - you've again managed to give my family and I such an amazing experience / stay / holiday / total rest.

Just fab :-)
Read less",5,1.0,0.0,0,0
51,George & Dragon,Food,Arundel, Pub/Bar,2,Rude welcoming...,"Having recently moved to the area, we had been told this little pub was a must to try. I called and booked (knowing how busy Sunday's get in a good pub) plus we had a dog - they were more than happy for us to bring him. We had been for a long walk before hand but made sure our boots were clean before entering the pub after seeing signs stating boots should be removed if dirty (completely understandable if ours were!) Unfortunately we walked into what I can only describe as very clicky locals sitting and judging at the bar (I LOVE going to a pub with welcoming locals which I expected but unfortunately this was not the case) and not one greeting from the staff. The first word which was said to us by an older lady was ""please can you leave and take your boots off, you're making my carpets dirty"" no 'hello, how can we help' or anything. I'm completely understanding about the removal of boots when dirty but no dirt was on our boots and quite frankly her attitude stank. I've been the owner of five successful pubs in Sussex and if a bit of mud on a carpet in a COUNTRY pub is an issue then they need a rethink or learn that sometimes mess does happen but a hoover or dust pan and brush can be a quick fix. Unfortunately we walked out and found another humbling and welcoming pub down the road which we had visited prior for a drink. We will not be returning.",1,4.0,0.0,British,1
52,Rustington Manor,Accommodation,Littlehampton,Hotel,1,Our three day break,"“Rustington Manor Hotel “. is a three house conversion.
Run by a couple of young Very Helpful people, plus other staff...
It has 7 Bedrooms (as far as known) on the first floor, accessed by a staircase (no lift is available)
There is one bedroom on the ground floor suitable for a disabled guest. Ground floor Toilets are available for Men & Women.
The Dining Room, Breakfast Room ,and Bar-lounge are well furnished.
However, being a “Hotel” we expected hotel standards...
The Breakfast Buffet table showed minimal choices, whereas the hot food had to be ordered..The Menu stated items which were not shown on the buffet.
Our bedroom was not serviced in our 3 day stay only given clean mugs and more biscuits / tea/ coffee etc on the tray.
The Dining Room had no dinner available Monday, Tuesday, or Wednesday, (should it be required): they had bar food only.
We can only consider this so called Hotel, to be nothing more than a 2* B&B.",2,3.0,0.0,0,1
